WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;building;location;landuse/operator;operator/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((554602.406512141 5259356.96818327,549894.060861378 5270768.4613712));Ratten;8673;Kirchenviertel 211;47,4853572;15,7248024;97094288;substation;Umspannwerk Mürzzuschlag;;110000;Mürzzuschlag;12344,66263
MULTILINESTRING ((558828.540787795 5264010.05740667,549894.060861378 5270768.4613712));Rettenegg;8674;Rettenegg 166;47,52685335;15,78151689;97094288;substation;Umspannwerk Mürzzuschlag;;110000;Mürzzuschlag;11202,72091
MULTILINESTRING ((570541.249529571 5205567.55827501,568454.410275682 5200106.95457989));Riegersburg;8361;Riegersburg 8;46,99987128;15,92786263;99755951;substation;Umspannwerk Feldbach;;110000;Feldbach;5845,775465
MULTILINESTRING ((579530.416068782 5233263.25528369,579399.748841685 5232444.47602138));Rohr_bei_Hartberg;8274;Unterrohr 24;47,2480321;16,0509789;102767009;substation;Umspannwerk Unterrohr;STEWEAG;110000;Rohr bei Hartberg;829,1401598
MULTILINESTRING ((508661.54065517 5211293.30194778,510234.167452873 5211364.1692088));Rosental_an_der_Kainach;8582;Hauptstra�e 85;47,0550981;15,1140466;96176843;substation;Umspannwerk Bärnbach (i.b.);;;Bärnbach;1574,222733
MULTILINESTRING ((451677.198759592 5263759.82109687,451023.37654603 5270839.72388142));Rottenmann;8786;Hauptstra�e 56;47,525468;14,3580657;103387969;substation;Umspannwerk Ardning;;110000;Ardning;7110,028616
MULTILINESTRING ((528867.707722952 5181993.5723476,526958.915274542 5189041.96986963));Sankt_Andr�-H�ch;8522;St. Andr� i.S. 74;46,790865;15,3782373;103800075;substation;Umspannwerk Preding;;;Wettmannstätten;7302,287055
MULTILINESTRING ((574271.614488415 5186916.03240887,568693.982948384 5190229.34138403));Sankt_Anna_am_Aigen;8355;Marktstra�e 7;46,8316444;15,9738774;99791175;substation;Umspannwerk Merkendorf;;110000;Bad Gleichenberg;6487,52572
MULTILINESTRING ((538571.367781447 5264629.20966609,538837.978461277 5264299.53429164));Sankt_Barbara_im_M�rztal;8664;Stelzhamerstra�e 7;47,5339423;15,5124756;97094293;substation;Umspannwerk Mitterdorf im Mürztal (i.b.);;110000;St. Barbara im Mürztal;423,989513
MULTILINESTRING ((519633.262896679 5212936.83659274,512122.327746346 5207225.28682214));Sankt_Bartholom�;8151;Sankt Bartholom� 3;47,0696526;15,2585818;41970883;;Kraftwerk Arnstein;Kraftwerk Arnstein;30 MW;Krottendorf-Gaisfeld;9435,886159
MULTILINESTRING ((471271.355828054 5282241.02732284,476263.125314455 5284501.89046443));Sankt_Gallen;8933;Markt 35;47,6929161;14,6171406;96826419;substation;Umspannwerk Essling;;;Altenmarkt bei St. Gallen;5479,896418
MULTILINESTRING ((431213.799962995 5217220.26310695,429079.706627848 5217624.98832818));Sankt_Georgen_am_Kreischberg;8862;St. Georgen ob Murau 45;47,10490185;14,0934443;92686645;substation;Kraftwerk Bodendorf-Mur;;;St. Georgen am Kreischberg;2172,131872
MULTILINESTRING ((544098.007164029 5191501.06273967,545833.509161552 5195465.24705981));Sankt_Georgen_an_der_Stiefing;8413;Sankt Georgen an der Stiefing 64;46,8755854;15,5787004;160783280;substation;Umspannwerk Feiting;;110000;Allerheiligen bei Wildon;4327,438562
