WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;building;location;landuse/operator;operator/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((457994.311696 5227389.1201949,451716.820207072 5220285.97194909));Unzmarkt-Frauenburg;8800;Simon-Hafner-Platz 2;47,1986519;14,44542;132457784;substation;Umspannwerk Teufenbach;;;Teufenbach-Katsch;9479,536613
MULTILINESTRING ((542261.137449005 5206985.6562631,537389.672679191 5207106.34706594));Vasoldsberg;8076;Hauptplatz 1;47,0150417;15,5560372;95790224;substation;Umspannwerk Grambach;;"110000;20000";Raaba-Grambach;4872,959601
MULTILINESTRING ((511378.332436184 5210618.00160545,510234.167452873 5211364.1692088));Voitsberg;8570;Hauptplatz 1;47,0489801;15,1498015;96176843;substation;Umspannwerk Bärnbach (i.b.);;;Bärnbach;1365,972035
MULTILINESTRING ((567085.637001565 5250818.76732208,565702.361056541 5249634.55790994));Vorau;8250;Rathausplatz 43;47,4073722;15,8891928;122942230;substation;Umspannwerk Schachen;;;Vorau;1820,934999
MULTILINESTRING ((499492.214248853 5259340.22175231,492925.647922317 5265381.8491766));Vordernberg;8794;Hauptplatz 2;47,487497;14,9932593;96702435;substation;Umspannwerk Eisenerz I;;110000;Eisenerz;8923,063109
MULTILINESTRING ((542592.598830889 5179271.70188848,542688.990197913 5183096.86728821));Wagna;8435;Marktplatz 4;46,7656362;15,5578065;83740188;substation;Umspannwerk Leibnitz;;;Leibnitz;3826,379703
MULTILINESTRING ((475833.935663086 5254830.44208575,459665.3874356 5260265.88024309));Wald_am_Schoberpa�;8781;Wald am Schoberpa� 57a;47,44647;14,6794523;91236151;substation;Umspannwerk Schwarzenbach;;;Trieben;17057,72376
MULTILINESTRING ((566642.957930217 5255177.83280007,565702.361056541 5249634.55790994));Waldbach-M�nichwald;8253;Karnerviertel 8;47,44663615;15,88398242;122942230;substation;Umspannwerk Schachen;;;Vorau;5622,510025
MULTILINESTRING ((537220.353986491 5220890.33003697,531562.543578114 5215741.55545051));Weinitzen;8045;Kirchplatz 4;47,1404631;15,4908651;146978108;substation;Umspannwerk Graz Gösting/Nord;;"110000;20000";Graz;7649,882245
MULTILINESTRING ((547116.647572107 5229486.01712545,547799.430914718 5228348.97073074));Weiz;8160;Hauptplatz 7;47,2171731;15,6222742;79122729;substation;Umspannwerk Weiz;;;Weiz;1326,298457
MULTILINESTRING ((480215.338029126 5222107.93848953,480910.842695186 5222441.86699829));Wei�kirchen_in_Steiermark;8741;Gemeindeplatz 1;47,1521742;14,7390211;27719234;substation;Umspannwerk Baumkirchen;STEWEAG;;Weißkirchen in Steiermark;771,514737
MULTILINESTRING ((559510.243560438 5252887.39961951,565702.361056541 5249634.55790994));Wenigzell;8253;Pittermann 222;47,426719;15,78907249;122942230;substation;Umspannwerk Schachen;;;Vorau;6994,51916
MULTILINESTRING ((536692.5785722 5196584.32097126,532206.819877158 5194546.52350557));Werndorf;8402;Bundesstra�e 135;46,92177765;15,48193213;83740194;substation;Umspannwerk Kainachtal/Zwaring;"Verbund Austrian Power Grid AG;STEWEAG-STEG";"380000;110000";Dobl-Zwaring;4926,931051
MULTILINESTRING ((529814.253368517 5186314.2215976,526958.915274542 5189041.96986963));Wettmannst�tten;8521;Wettmannst�tten 2;46,82970423;15,39092067;103800075;substation;Umspannwerk Preding;;;Wettmannstätten;3948,868986
MULTILINESTRING ((520596.268936717 5173879.14615053,521456.560905853 5177591.05285445));Wies;8542;Oberer Markt 14;46,7181497;15,2694985;89555133;substation;Umspannwerk Bergla;STEWEAG;110000;St. Martin im Sulmtal;3810,295743
MULTILINESTRING ((498517.99534102 5279279.53721122,492233.440152244 5265822.60752386));Wildalpen;8924;Wildalpen 91;47,66690654;14,98025952;174523999;substation;Umspannwerk Eisenerz II;STEWEAG;;Eisenerz;14852,09044
MULTILINESTRING ((538994.455526581 5192738.65412314,532206.819877158 5194546.52350557));Wildon;8410;Hauptplatz 55;46,88704095;15,51183504;83740194;substation;Umspannwerk Kainachtal/Zwaring;"Verbund Austrian Power Grid AG;STEWEAG-STEG";"380000;110000";Dobl-Zwaring;7024,271451
MULTILINESTRING ((435632.661470503 5266837.46048912,440421.581480818 5269318.96269598));W�rschach;8942;Dr. Alfons Gorbach Platz 16;47,55176625;14,14449643;89451551;substation;Umspannwerk Weißenbach;Verbund Austrian Power Grid AG;;Liezen;5393,663696
MULTILINESTRING ((534199.297872781 5196972.15182393,532206.819877158 5194546.52350557));Wundschuh;8142;Am Kirchplatz 6;46,92540075;15,44921482;83740194;substation;Umspannwerk Kainachtal/Zwaring;"Verbund Austrian Power Grid AG;STEWEAG-STEG";"380000;110000";Dobl-Zwaring;3139,051019
MULTILINESTRING ((481176.729397836 5226130.68359734,479243.743887192 5225337.04373835));Zeltweg;8740;Hauptplatz 8;47,1884007;14,7515339;88684218;substation;Kraftwerk Zeltweg;;;Zeltweg;2089,568666
