WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;landuse/name;name;substation/voltage;building/operator;Polit. Gemeinde;distance
MULTILINESTRING ((342702.283784093 5315248.02481152,347309.342952107 5313145.27325617));Sankt_Georgen_bei_Salzburg;5113;Gemeindeweg 6;47,9711945;12,8924487;98007002;Umspannwerk Göming;substation;;;Göming;5064,24311
MULTILINESTRING ((347315.109892464 5312265.8582903,347309.342952107 5313145.27325617));Göming;5114;Dorfstraße 3;47,94549745;12,95527095;98007002;Umspannwerk Göming;substation;;;Göming;879,4338746
MULTILINESTRING ((351314.800252026 5313782.69824948,347309.342952107 5313145.27325617));Nußdorf_am_Haunsberg;5151;Hauptstraße 17;47,9600775;13,0082759;98007002;Umspannwerk Göming;substation;;;Göming;4055,859811
MULTILINESTRING ((353028.038010924 5320341.84062117,347309.342952107 5313145.27325617));Dorfbeuern;5152;Michaelbeuern 45;48,0194521;13,0289662;98007002;Umspannwerk Göming;substation;;;Göming;9192,064785
MULTILINESTRING ((355448.710210688 5303297.0829696,359405.139583082 5305899.61906326));Elixhausen;5161;Schulweg 9;47,8667356;13,0671347;33003040;Umspannwerk Seekirchen;substation;110000;;Seekirchen am Wallersee;4735,665476
MULTILINESTRING ((356272.189056894 5311093.46578433,359405.139583082 5305899.61906326));Obertrum_am_See;5162;Obertrum 1;47,93702755;13,0755418;33003040;Umspannwerk Seekirchen;substation;110000;;Seekirchen am Wallersee;6065,593356
MULTILINESTRING ((358450.325544102 5314671.71109211,359405.139583082 5305899.61906326));Mattsee;5163;Gemeindeweg 1;47,9696892;13,1035121;33003040;Umspannwerk Seekirchen;substation;110000;;Seekirchen am Wallersee;8823,903241
MULTILINESTRING ((356564.691532853 5314568.08952807,359405.139583082 5305899.61906326));Seeham;5164;Dorf 2;47,9683376;13,0782975;33003040;Umspannwerk Seekirchen;substation;110000;;Seekirchen am Wallersee;9121,98034
MULTILINESTRING ((355396.829039607 5317703.94242682,347309.342952107 5313145.27325617));Berndorf_bei_Salzburg;5165;Franz-Xaver-Gruber-Platz 1;47,9962726;13,0616043;98007002;Umspannwerk Göming;substation;;;Göming;9283,797489
MULTILINESTRING ((359989.461305994 5306242.56577099,359405.139583082 5305899.61906326));Seekirchen_am_Wallersee;5201;Stiftsgasse 1;47,8942289;13,1268623;33003040;Umspannwerk Seekirchen;substation;110000;;Seekirchen am Wallersee;677,5280955
MULTILINESTRING ((367444.404529357 5311735.74849145,359405.139583082 5305899.61906326));Neumarkt_am_Wallersee;5202;Hauptstraße 30;47,9452124;13,2248581;33003040;Umspannwerk Seekirchen;substation;110000;;Seekirchen am Wallersee;9934,293512
MULTILINESTRING ((365419.491393644 5313166.21284181,359405.139583082 5305899.61906326));Köstendorf;5203;Kirchenstraße 5;47,95765405;13,19730742;33003040;Umspannwerk Seekirchen;substation;110000;;Seekirchen am Wallersee;9432,699128
MULTILINESTRING ((369829.54404719 5315608.63450648,359405.139583082 5305899.61906326));Straßwalchen;5204;Mayburgerplatz 1;47,9805307;13,2556111;33003040;Umspannwerk Seekirchen;substation;110000;;Seekirchen am Wallersee;14245,46206
