WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;landuse/name;name;substation/voltage;building/operator;Polit. Gemeinde;distance
MULTILINESTRING ((363640.13281153 5259611.00147292,363177.666816976 5272455.62351172));Werfen;5450;Markt 24;47,4756503;13,1902459;93206012;Umspannwerk Golling;substation;110000;;Golling an der Salzach;12852,9448
MULTILINESTRING ((364767.774092624 5257526.18946571,363177.666816976 5272455.62351172));Pfarrwerfen;5452;Dorfwerfen 4;47,4571355;13,2058426;93206012;Umspannwerk Golling;substation;110000;;Golling an der Salzach;15013,87499
MULTILINESTRING ((368883.870890977 5258065.6382421,378047.620626944 5246953.55220775));Werfenweng;5453;Weng 42;47,4628286;13,2602654;102151229;Umspannwerk Reitdorf;substation;110000;Salzburg AG;Flachau;14403,22066
MULTILINESTRING ((365661.689247795 5252800.08277853,359276.632633128 5241896.80183696));Bischofshofen;5500;Rathausplatz 1;47,41481515;13,21913163;83803297;Umspannwerk Flusskraftwerk Schwarzach (i.b.);substation;110000;;Schwarzach im Pongau;12635,28723
MULTILINESTRING ((357221.929955931 5250177.21133132,359276.632633128 5241896.80183696));Mühlbach_am_Hochkönig;5505;Nr. 251;47,38943495;13,10815505;83803297;Umspannwerk Flusskraftwerk Schwarzach (i.b.);substation;110000;;Schwarzach im Pongau;8531,528848
MULTILINESTRING ((372318.835917709 5252740.97223178,378047.620626944 5246953.55220775));Hüttau;5511;Hüttau 29;47,4156202;13,3073591;102151229;Umspannwerk Reitdorf;substation;110000;Salzburg AG;Flachau;8143,292011
MULTILINESTRING ((377977.400902646 5258202.31171986,378047.620626944 5246953.55220775));Sankt_Martin_am_Tennengebirge;5522;Lammertalstraße 1;47,4658249;13,3808351;102151229;Umspannwerk Reitdorf;substation;110000;Salzburg AG;Flachau;11248,97868
MULTILINESTRING ((381902.397926661 5263419.99544988,378047.620626944 5246953.55220775));Annaberg-Lungötz;5523;Gemeindeamt Annaberg-Lungötz;47,5134795;13,4315;102151229;Umspannwerk Reitdorf;substation;110000;Salzburg AG;Flachau;16911,62503
MULTILINESTRING ((378969.758472896 5251662.63695669,378047.620626944 5246953.55220775));Eben_im_Pongau;5531;Dorfplatz 60;47,4071887;13,395787;102151229;Umspannwerk Reitdorf;substation;110000;Salzburg AG;Flachau;4798,522416
MULTILINESTRING ((387622.122176733 5255027.77112764,378047.620626944 5246953.55220775));Filzmoos;5532;Filzmoos Nr. 32;47,4390055;13,50957529;102151229;Umspannwerk Reitdorf;substation;110000;Salzburg AG;Flachau;12524,53956
MULTILINESTRING ((380793.351319834 5248335.95930494,378047.620626944 5246953.55220775));Altenmarkt_im_Pongau;5541;Michael-Walchhofer-Straße 6;47,3776018;13,4208429;102151229;Umspannwerk Reitdorf;substation;110000;Salzburg AG;Flachau;3074,099286
MULTILINESTRING ((378399.984438659 5247764.61022654,378047.620626944 5246953.55220775));Flachau;5542;Gemeindestraße 73;47,37202165;13,38930673;102151229;Umspannwerk Reitdorf;substation;110000;Salzburg AG;Flachau;884,2937101
MULTILINESTRING ((383957.401912966 5249042.34970633,378047.620626944 5246953.55220775));Radstadt;5550;Stadtplatz 17;47,3845254;13,4625573;102151229;Umspannwerk Reitdorf;substation;110000;Salzburg AG;Flachau;6268,061091
