WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;power;location/operator;substation/voltage;landuse/name;Polit. Gemeinde;distance
MULTILINESTRING ((445867.229869865 5191452.09930517,446904.1725545 5191880.55572147));Gurk;9342;Dr-Schnerich-Str. 12;46,8744034;14,2896281;151942483;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Gurk;Straßburg;1121,973722
MULTILINESTRING ((462763.425480912 5193063.55037766,459152.879004625 5189815.36102072));Guttaring;9334;Unterer Markt 3;46,8900654;14,51121119;97348720;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Treibach;Althofen;4856,622278
MULTILINESTRING ((336011.567293626 5211875.70316077,344666.70333647 5206678.13334882));Heiligenblut_am_Gro�glockner;9844;Hof 4;47,0400471;12,8413342;592473581;substation;KELAG;110000;KW Zirknitz;Großkirchheim;10095,84627
MULTILINESTRING ((375344.786095784 5164954.69240261,375979.803172526 5165160.9490378));Hermagor-Pressegger_See;9620;Wulfeniaplatz 1;46,6265645;13,37165;85639941;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Hermagor;Hermagor-Pressegger See;667,6739379
MULTILINESTRING ((426308.833882838 5177798.28544134,430492.718840136 5174417.04056659));Himmelberg;9562;Turracher Stra�e 27;46,7496691;14,0351998;85471947;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Feldkirchen;Feldkirchen in Kärnten;5379,378239
MULTILINESTRING ((395249.685102946 5156973.58151184,399932.881074731 5157253.67757869));Hohenthurn;9613;Draschitz 33;46,55816465;13,63338804;85387757;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Gailitz;Arnoldstein;4691,564592
MULTILINESTRING ((465592.524016197 5198677.90937094,459152.879004625 5189815.36102072));H�ttenberg;9375;Reiftanzplatz 1;46,9407394;14,54792165;97348720;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Treibach;Althofen;10955,08061
MULTILINESTRING ((349183.409621524 5179730.48316513,344722.04705577 5178504.28599813));Irschen;9773;Irschen 41;46,75408405;13,02525754;85489932;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Oberdrauburg;Oberdraunburg;4626,80402
MULTILINESTRING ((460620.796291882 5187427.91831061,459152.879004625 5189815.36102072));Kappel_am_Krappfeld;9321;Bahnstra�e 43;46,839229;14,4835735;97348720;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Treibach;Althofen;2802,617322
MULTILINESTRING ((437746.036752988 5160286.79868494,429019.326153566 5163638.70613635));Keutschach_am_See;9074;Keutschach 1;46,5932586;14,1872899;85391848;substation;Kelag;110000;Umspannwerk Techelsbergen am Wörthersee (i.b.);Techelsbergen am Wörther See;9348,302597
MULTILINESTRING ((361111.375491272 5166947.09674734,368227.406849676 5164124.90936228));Kirchbach;9632;Kirchbach 155;46,64168915;13,1852124;83896165;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Tröpolach;Hermagor-Pressegger See;7655,236373
MULTILINESTRING ((446924.152625919 5163611.43666144,447925.484070378 5161577.11870529));Klagenfurt_am_W�rthersee;9201;Neuer Platz 1;46,6239645;14,3067166;86119509;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Klagenfurt;Klagenfurt am Wörthersee;2267,402525
MULTILINESTRING ((373666.186224817 5180844.43369659,374898.235240421 5187932.93315579));Kleblach-Lind;9753;Lind 25;46,76918643;13,34537035;83892416;substation;;110000;KW Malta-Unterstufe;Lurnfeld;7194,773753
MULTILINESTRING ((464982.590135745 5187040.68884705,464801.031608284 5187641.68819554));Klein_Sankt_Paul;9373;Marktstra�e 17;46,8359882;14,5408026;151942484;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Wietersdorf;Klein St. Paul;627,82459
MULTILINESTRING ((347046.094072506 5170625.08115907,352384.615551633 5167982.14858062));K�tschach-Mauthen;9640;K�tschach 390;46,6717064;13,0003178;85586883;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Würmlach;Kötschach-Mauthen;5956,920698
MULTILINESTRING ((440982.562807339 5156658.25352869,446246.406541102 5154893.63664194));K�ttmannsdorf;9071;Karawankenblick 1;46,56089905;14,2300003;86321271;substation;Verbund Hydro Power GmbH;110000;Kraftwerk Ferlach-Maria Rain;Ferlach;5551,749599
MULTILINESTRING ((399762.25975872 5197806.09502884,388474.795282672 5196557.12272491));Krems_in_K�rnten;9862;Nr. 35;46,926215;13,68332995;642903514;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Gmünd;Gmünd in Kärnten;11356,35444
MULTILINESTRING ((439864.301447882 5163918.39071359,439610.716988673 5171039.34811945));Krumpendorf_am_W�rthersee;9201;Hauptstra�e 145;46,6261307;14,2144683;85405514;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Windischbach;Moosburg;7125,471174
MULTILINESTRING ((495755.463185393 5166181.1756921,496587.673434634 5164482.05365706));Lavam�nd;9473;Lavam�nd 65;46,64917753;14,94453164;593152355;substation;KELAG;110000;Kraftwerk Koralpe;Lavamünd;1891,980335
MULTILINESTRING ((381157.740556834 5187798.30694821,383851.644315418 5187394.74090807));Lendorf;9811;Feicht 2a;46,83311805;13,44164557;83892438;substation;KNG-Kärnten Netz GmbH;"110000;20000";Umspannwerk Lieserhofen;Seeboden am Millstätter See;2723,964576
