WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;landuse/name;substation/voltage;location/operator;Polit. Gemeinde;distance
MULTILINESTRING ((175339.86124338 5266734.9668453,179805.436860635 5268787.09566301));H�fen;6604;Hauptstra�e 24;47,4730083;10,6910729;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;4914,529304
MULTILINESTRING ((147737.58378332 5244494.381332,144636.086167374 5231942.64989408));Holzgau;6654;Hausnummer 45;47,2592149;10,34355925;100619811;Umspannwerk Sankt Jakob;110000;;St. Anton am Arlberg;12929,2401
MULTILINESTRING ((285804.173058595 5259030.11812893,284936.271525542 5259923.81115707));Hopfgarten_im_Brixental;6361;Marktplatz 8;47,4494865;12,1585671;94452460;Umspannwerk Hopfgarten;110000;;Hopfgarten im Brixental;1245,768959
MULTILINESTRING ((311149.779397429 5199423.54817274,316637.319342671 5199486.82927833));Hopfgarten_in_Defereggen;9961;Dorf 46;46,9214644;12,5195458;85699549;UW Kienburg;110000;;Matrei in Osttirol;5487,904805
MULTILINESTRING ((177426.050748115 5240553.60753916,175917.97334348 5237591.53121288));Imst;6460;Rathausstra�e 9;47,23911465;10,73767724;100872499;110kV Freischaltanlage;110000;;Imsterberg;3323,882312
MULTILINESTRING ((174158.183932474 5237117.85098261,175917.97334348 5237591.53121288));Imsterberg;6492;Ried 4;47,20667295;10,69712176;100872499;110kV Freischaltanlage;110000;;Imsterberg;1822,424685
MULTILINESTRING ((298142.634984844 5189387.08469282,316637.319342671 5199486.82927833));Innervillgraten;9932;Nr. 78;46,82741605;12,35332675;85699549;UW Kienburg;110000;;Matrei in Osttirol;21072,68825
MULTILINESTRING ((227104.918165512 5241006.79407056,227124.154691333 5239512.50040655));Innsbruck;6080;Maria-Theresien-Stra�e 18;47,265711;11,3923735;32674497;Umspannwerk Wilten;110000;TIWAG;Innsbruck;1494,417478
MULTILINESTRING ((212295.595384161 5242589.81797888,213733.375500649 5243144.303752));Inzing;6401;Kohlstatt 2;47,273599;11,1960087;147563007;Umspannwerk Zirl;110000;TIWAG;Zirl;1540,995177
MULTILINESTRING ((142130.139686408 5217393.51749444,144636.086167374 5231942.64989408));Ischgl;6561;Eggerweg 4;47,0131423;10,2912454;100619811;Umspannwerk Sankt Jakob;110000;;St. Anton am Arlberg;14763,36755
MULTILINESTRING ((335928.074335535 5189413.92917453,333701.680962457 5188461.61650299));Iselsberg-Stronach;9992;Iselsberg-Stronach 30;46,83803928;12,84834654;162834614;Tiwag Netz AG Umspannwerk Debant;;Tiwag Netz AG;Nußdorf-Debant;2421,513344
MULTILINESTRING ((284732.329186937 5261383.13358519,284936.271525542 5259923.81115707));Itter;6305;Dorfplatz 1;47,4702796;12,1432204;94452460;Umspannwerk Hopfgarten;110000;;Hopfgarten im Brixental;1473,504132
MULTILINESTRING ((256386.704797952 5253726.77797332,255248.660516804 5253525.58211617));Jenbach;6200;S�dtiroler Platz 2;47,39151445;11,77184354;30880774;Achenseekraftwerk (i.b.);;;Jenbach;1155,692242
MULTILINESTRING ((178061.017799338 5230217.60661358,175917.97334348 5237591.53121288));Jerzens;6474;Jerzens 220;47,1466742;10,75346258;100872499;110kV Freischaltanlage;110000;;Imsterberg;7679,023606
MULTILINESTRING ((305174.756393957 5250660.122172,303252.223421196 5259181.14481888));Jochberg;6373;Dorf 22;47,3803272;12,41892865;99841738;Umspannwerk Kitzbühel;;;Kitzbühel;8735,213791
MULTILINESTRING ((157567.851791298 5278814.66048305,179805.436860635 5268787.09566301));Jungholz;6691;Jungholz 55;47,5722629;10,4465602;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;24393,89772
MULTILINESTRING ((144139.780861895 5239776.1496474,144636.086167374 5231942.64989408));Kaisers;6655;Nr. 13;47,2149615;10,2999163;100619811;Umspannwerk Sankt Jakob;110000;;St. Anton am Arlberg;7849,20616
MULTILINESTRING ((320923.788623585 5207984.06584342,313503.984418098 5205720.08281869));Kals_am_Gro�glockner;9981;K�dnitz 6;47,0011425;12,644431;236771754;UW Matrei;;;Matrei in Osttirol;7757,519809
MULTILINESTRING ((263589.195240102 5242424.09192253,265176.262490773 5235805.82192859));Kaltenbach;6272;Schmiedau 17;47,2926088;11,8731441;156973414;Umspannwerk Zell am Ziller;"380000;220000;110000";Austrian Power Grid AG;Rohrberg;6805,900394
MULTILINESTRING ((149483.958895863 5222691.37718105,144636.086167374 5231942.64989408));Kappl;6555;Kappl 112;47,06459477;10,38357461;100619811;Umspannwerk Sankt Jakob;110000;;St. Anton am Arlberg;10444,51611
MULTILINESTRING ((180161.05387291 5238239.42689032,175917.97334348 5237591.53121288));Karres;6462;Nr. 91;47,2196847;10,7753683;100872499;110kV Freischaltanlage;110000;;Imsterberg;4292,260615
MULTILINESTRING ((179516.156485118 5238917.37396488,175917.97334348 5237591.53121288));Karr�sten;6463;Dorf 2;47,2254544;10,76638875;100872499;110kV Freischaltanlage;110000;;Imsterberg;3834,681333
MULTILINESTRING ((308856.145038416 5177743.69370242,328282.063498463 5185568.76501211));Kartitsch;9941;Nr. 80;46,7258969;12,4985124;163096581;Kraftwerk Amlach (i.b.);;;Leisach;20942,73261
MULTILINESTRING ((174078.981760395 5223300.67866693,170910.688142686 5222000.04289397));Kaunerberg;6527;Poschackerl 46;47,0826497;10,706093;100602290;Umspannwerk Prutz;"220000;110000";;Prutz;3424,870488
MULTILINESTRING ((174735.17974897 5213812.87429406,170910.688142686 5222000.04289397));Kaunertal;6524;Feichten im Kaunertal 141;46,9978339;10,72153765;100602290;Umspannwerk Prutz;"220000;110000";;Prutz;9036,396723
MULTILINESTRING ((173033.645424966 5222823.76940274,170910.688142686 5222000.04289397));Kauns;6526;Dorfstra�e 23;47,0778537;10,6927064;100602290;Umspannwerk Prutz;"220000;110000";;Prutz;2277,163363
MULTILINESTRING ((217957.412352001 5240180.74038011,221048.547501661 5240510.86658091));Kematen_in_Tirol;6175;Dorfplatz 1;47,2544259;11,2722251;106098365;Umspannwerk Völs;110000;TIWAG;Völs;3108,713532
MULTILINESTRING ((297621.465145256 5258459.86219121,294666.79344923 5259683.10379237));Kirchberg_in_Tirol;6365;Hauptstra�e 8;47,4481373;12,3154091;156990742;Umspannwerk Brixen;110000;TIWAG-Netz AG;Brixen in Tirol;3197,875052
MULTILINESTRING ((280625.307619077 5266097.73797782,280722.575313024 5266536.61016587));Kirchbichl;6322;Oberndorferstra�e 1;47,5112765;12,0864444;105080874;Kraftwerk Kirchbichl (i.b.);110000;;Kirchbichl;449,5217478
MULTILINESTRING ((307976.714610504 5270391.2918942,305662.479878842 5265742.71562897));Kirchdorf_in_Tirol;6382;Dorfplatz 4;47,5585224;12,4474325;94505943;Umspannwerk St. Johann;110000;;St. Johann in Tirol;5192,778032
MULTILINESTRING ((303249.28004809 5258054.66194474,303252.223421196 5259181.14481888));Kitzb�hel;6370;Hinterstadt 20;47,4462181;12,3901626;99841738;Umspannwerk Kitzbühel;;;Kitzbühel;1126,486719
MULTILINESTRING ((245530.250309458 5244097.73704357,242605.757109609 5244004.2778602));Kolsass;6114;Fiechterweg 2;47,3008816;11,6337432;312113570;Kraftwerk Haim;;;Wattens;2925,986175
MULTILINESTRING ((246452.023487091 5242996.98686556,242605.757109609 5244004.2778602));Kolsassberg;6115;Rettenbergstra�e 25;47,291351;11,6465413;312113570;Kraftwerk Haim;;;Wattens;3975,977892
MULTILINESTRING ((305270.503832836 5282917.31900309,294074.198805522 5280500.42022514));K�ssen;6345;Dorf 14;47,6703077;12,4059303;94232595;Umspannwerk Ebbs;110000;;Ebbs;11454,19774
MULTILINESTRING ((265032.043731073 5259690.85016402,263635.105022027 5258139.18811317));Kramsach;6233;Zentrum 1;47,4482675;11,8830627;485429676;Umspannwerk Kramsach;110000;TIWAG;Kramsach;2087,844074
MULTILINESTRING ((287070.698325508 5273819.92933074,285521.80619814 5273441.60001921));Kufstein;6330;Unterer Stadtplatz 22;47,5828171;12,1681992;94406313;Umspannwerk Kufstein;110000;;Langkampfen;1594,427763
MULTILINESTRING ((272760.040936405 5261697.14463067,272025.542766025 5261541.84139136));Kundl;6250;Dorfstra�e 11;47,4690349;11,9843973;94514064;Umspannwerk Kundl;110000;TIWAG-Netz AG;Kundl;750,7374098
MULTILINESTRING ((169716.199723822 5222731.37917836,170910.688142686 5222000.04289397));Ladis;6532;Dorfstra�e 8;47,0753746;10,6492001;100602290;Umspannwerk Prutz;"220000;110000";;Prutz;1400,591069
MULTILINESTRING ((163644.189980467 5230207.38383319,163683.984437627 5230595.80189101));Landeck;6500;Innstra�e 23;47,1393836;10,5638771;102601926;Umspannwerk Landeck;110000;TIWAG;Landeck;390,45126
MULTILINESTRING ((194063.145034904 5220858.36390211,196776.104703237 5210928.51721686));L�ngenfeld;6444;Oberl�ngenfeld 72;47,0702869;10,9703444;100409307;Umspannwerk Sölden;110000;TIWAG;Sölden;10293,78479
MULTILINESTRING ((281827.983576038 5270445.17456219,279889.491702928 5267354.07606647));Langkampfen;6336;Sonnweg 1;47,5507488;12,1002417;23899163;Umspannwerk Kirchbichl;"220000;110000";;Kirchbichl;3648,649154
MULTILINESTRING ((230612.530427765 5236776.65185352,226958.550058888 5237742.9321219));Lans;6072;Boutignyplatz 128;47,2291696;11,4411998;145583866;Umspannwerk Vill;110000;TIWAG;Innsbruck;3779,585968
MULTILINESTRING ((335478.840563556 5184956.72393185,333701.680962457 5188461.61650299));Lavant;9906;Lavant 61;46,79784625;12,8440629;162834614;Tiwag Netz AG Umspannwerk Debant;;Tiwag Netz AG;Nußdorf-Debant;3929,70332
MULTILINESTRING ((176595.636597403 5268498.31525601,179805.436860635 5268787.09566301));Lechaschau;6600;Dorfstra�e 10;47,4894548;10,7064001;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;3222,764629
MULTILINESTRING ((327943.804150813 5186152.59528801,328282.063498463 5185568.76501211));Leisach;9909;Leisach;46,80669768;12,74494833;163096581;Kraftwerk Amlach (i.b.);;;Leisach;674,7423044
MULTILINESTRING ((189288.93067343 5257991.1674099,189823.376323836 5255227.05679684));Lermoos;6631;Unterdorf 15;47,4013363;10,8818406;84622128;Umspannwerk Biberwier;;EWR;Biberwier;2815,304537
MULTILINESTRING ((208945.031465238 5253381.73262921,201891.028516555 5245237.25017945));Leutasch;6105;Kirchplatzl 128a;47,3690099;11,1447576;30884137;Umspannwerk Rietz;110000;;Rietz;10774,57897
MULTILINESTRING ((329848.567319613 5188598.17195421,332640.43648021 5188061.46138136));Lienz;9900;Hauptplatz 7;46,82917785;12,76898379;162826525;Umspannwerk Lienz;"220000;110000";Austrian Power Grid AG;Lienz;2842,989914
MULTILINESTRING ((278395.968026031 5267984.85816435,279889.491702928 5267354.07606647));Mariastein;6324;Mariastein 29;47,52747859;12,05592684;23899163;Umspannwerk Kirchbichl;"220000;110000";;Kirchbichl;1621,264639
MULTILINESTRING ((231009.110640522 5225899.79156277,232355.655329337 5220437.2334971));Matrei_am_Brenner;6143;Brennerstra�e 59;47,131645;11,452949;42352281;Umspannwerk Steinach;110000;TIWAG-Netz AG;Steinach am Brenner;5626,075295
MULTILINESTRING ((312847.85230922 5208214.37681305,313503.984418098 5205720.08281869));Matrei_in_Osttirol;9971;Rauterplatz 1;47,0009794;12,5382032;236771754;UW Matrei;;;Matrei in Osttirol;2579,149448
MULTILINESTRING ((262319.67152713 5228583.0175257,259912.025561335 5226911.21124978));Mayrhofen;6290;Hauptstra�e 409;47,1677894;11,8637309;99858973;Kraftwerk Bösdornau (i.b.);;;Finkenberg;2931,159382
MULTILINESTRING ((225798.927397347 5230393.04055538,226958.550058888 5237742.9321219));Mieders;6142;Dorfstra�e 19;47,16985055;11,38164266;145583866;Umspannwerk Vill;110000;TIWAG;Innsbruck;7440,808475
MULTILINESTRING ((196031.584902626 5247059.88636241,201891.028516555 5245237.25017945));Mieming;6414;Obermieming 175;47,3063901;10,97845182;30884137;Umspannwerk Rietz;110000;;Rietz;6136,373695
MULTILINESTRING ((237843.422246284 5242988.61119162,235156.117778468 5241651.09149436));Mils;6068;Unterdorf 4;47,2878899;11,5328984;121265317;Umspannwerk Hall;110000;TIWAG-Netz AG;Hall in Tirol;3001,760191
MULTILINESTRING ((172319.64606245 5237004.2585277,175917.97334348 5237591.53121288));Mils_bei_Imst;6493;Reitle 4;47,2047403;10,672997;100872499;110kV Freischaltanlage;110000;;Imsterberg;3645,935878
MULTILINESTRING ((194297.970565859 5244022.90927637,187768.034554493 5240588.40410562));M�tz;6423;Fl��erweg 9;47,2783242;10,95765554;95812161;APG Umspannwerk Westtirol;"380000;220000;110000";Austrian Power Grid AG;Haiming;7378,068181
MULTILINESTRING ((231021.913604862 5226535.59968859,232355.655329337 5220437.2334971));M�hlbachl;6143;Zieglstadl 32;47,1373606;11,4527373;42352281;Umspannwerk Steinach;110000;TIWAG-Netz AG;Steinach am Brenner;6242,510488
MULTILINESTRING ((261142.97175131 5256900.3425062,263635.105022027 5258139.18811317));M�nster;6232;Dorf 90;47,42178345;11,83305931;485429676;Umspannwerk Kramsach;110000;TIWAG;Kramsach;2783,067853
MULTILINESTRING ((174334.584166986 5273282.14720788,179805.436860635 5268787.09566301));Musau;6600;HNr. 85;47,53125005;10,6729363;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;7080,657991
MULTILINESTRING ((225666.487065232 5236757.61234845,226958.550058888 5237742.9321219));Mutters;6162;Schulgasse 4;47,2269521;11,3760037;145583866;Umspannwerk Vill;110000;TIWAG;Innsbruck;1624,894407
MULTILINESTRING ((172895.739171058 5254479.32094957,179805.436860635 5268787.09566301));Namlos;6623;Namlos 24;47,3618246;10,66777579;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;15888,87471
MULTILINESTRING ((185440.801486054 5248480.43712974,189823.376323836 5255227.05679684));Nassereith;6465;Karl-Mayr-Stra�e 116a;47,31414155;10,83770501;84622128;Umspannwerk Biberwier;;EWR;Biberwier;8045,112749
MULTILINESTRING ((225694.908138405 5237571.01702833,226958.550058888 5237742.9321219));Natters;6161;Innsbrucker Stra�e 4;47,23426865;11,3758798;145583866;Umspannwerk Vill;110000;TIWAG;Innsbruck;1275,282597
MULTILINESTRING ((157408.849486408 5202809.13516009,170910.688142686 5222000.04289397));Nauders;6542;Nauders 221;46,89038709;10,50262483;100602290;Umspannwerk Prutz;"220000;110000";;Prutz;23464,66677
MULTILINESTRING ((237658.23461044 5225476.14997209,232355.655329337 5220437.2334971));Navis;6145;Unterweg 39;47,1305195;11,5407088;42352281;Umspannwerk Steinach;110000;TIWAG-Netz AG;Steinach am Brenner;7314,918063
MULTILINESTRING ((169181.302663938 5268165.21993714,179805.436860635 5268787.09566301));Nesselw�ngle;6672;Nesselw�ngle 74;47,48274265;10,60850944;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;10642,31915
MULTILINESTRING ((219861.63891556 5224097.72781792,232355.655329337 5220437.2334971));Neustift_im_Stubaital;6167;Dorf 1;47,1108204;11,3073811;42352281;Umspannwerk Steinach;110000;TIWAG-Netz AG;Steinach am Brenner;13019,20369
MULTILINESTRING ((291562.282461755 5281367.86147801,289761.240262469 5280198.07788483));Niederndorf;6342;Dorf 34;47,65211064;12,2242703;83500268;Umspannwerk Wasserkraftwerk Oberaudorf-Ebbs (i.b.);;;Niederndorf;2147,590896
MULTILINESTRING ((292859.461958863 5282401.07834668,294074.198805522 5280500.42022514));Niederndorferberg;6346;Eiberg 14;47,6618129;12,2410344;94232595;Umspannwerk Ebbs;110000;;Ebbs;2255,678812
MULTILINESTRING ((340305.363514457 5183479.67091861,333701.680962457 5188461.61650299));Nikolsdorf;9782;Nikolsdorf 17;46,78573662;12,90778248;162834614;Tiwag Netz AG Umspannwerk Debant;;Tiwag Netz AG;Nußdorf-Debant;8272,146339
MULTILINESTRING ((333318.233917878 5188692.99422257,333701.680962457 5188461.61650299));Nu�dorf-Debant;9990;Hermann Gmeiner Stra�e 4;46,830908;12,8144091;162834614;Tiwag Netz AG Umspannwerk Debant;;Tiwag Netz AG;Nußdorf-Debant;447,8473904
MULTILINESTRING ((204341.151862299 5242982.35088971,201891.028516555 5245237.25017945));Oberhofen_im_Inntal;6406;HNr. 202;47,2735866;11,0908242;30884137;Umspannwerk Rietz;110000;;Rietz;3329,816093
MULTILINESTRING ((326709.604901154 5190635.51035704,328282.063498463 5185568.76501211));Oberlienz;9903;Oberlienz 30;46,84668809;12,72708592;163096581;Kraftwerk Amlach (i.b.);;;Leisach;5305,142263
MULTILINESTRING ((227705.818855789 5213158.93413657,232355.655329337 5220437.2334971));Obernberg_am_Brenner;6157;Innertal 39a;47,0158633;11,4171644;42352281;Umspannwerk Steinach;110000;TIWAG-Netz AG;Steinach am Brenner;8636,817748
MULTILINESTRING ((303067.726248346 5264030.37063355,305662.479878842 5265742.71562897));Oberndorf_in_Tirol;6372;Josef-Hager Stra�e 15;47,4998768;12,3850919;94505943;Umspannwerk St. Johann;110000;;St. Johann in Tirol;3108,837691
MULTILINESTRING ((216028.174463744 5239147.50095625,213733.375500649 5243144.303752));Oberperfuss;6173;Peter-Anich Weg 1;47,2443167;11,2474385;147563007;Umspannwerk Zirl;110000;TIWAG;Zirl;4608,745477
MULTILINESTRING ((317715.33708098 5175621.37591828,328282.063498463 5185568.76501211));Obertilliach;9942;Dorf 4;46,7092892;12,61518838;163096581;Kraftwerk Amlach (i.b.);;;Leisach;14512,27952
MULTILINESTRING ((191719.451819819 5246554.18367148,187768.034554493 5240588.40410562));Obsteig;6416;Oberstrass 218;47,299837;10,92189877;95812161;APG Umspannwerk Westtirol;"380000;220000;110000";Austrian Power Grid AG;Haiming;7155,712699
MULTILINESTRING ((189277.197985072 5235882.77009263,187768.034554493 5240588.40410562));Oetz;6433;Hauptstra�e 51;47,2029055;10,8970927;95812161;APG Umspannwerk Westtirol;"380000;220000;110000";Austrian Power Grid AG;Haiming;4941,71688
MULTILINESTRING ((228528.669834437 5234126.51796268,226958.550058888 5237742.9321219));Patsch;6082;Dorfstra�e 22;47,2045116;11,4153321;145583866;Umspannwerk Vill;110000;TIWAG;Innsbruck;3942,553421
MULTILINESTRING ((209652.494162798 5244806.43698943,213733.375500649 5243144.303752));Pettnau;6408;Tiroler Stra�e 114;47,2923356;11,1597001;147563007;Umspannwerk Zirl;110000;TIWAG;Zirl;4406,390744
MULTILINESTRING ((147527.779524221 5232123.28193019,144636.086167374 5231942.64989408));Pettneu_am_Arlberg;6574;Hnr. 152;47,1481493;10,35052115;100619811;Umspannwerk Sankt Jakob;110000;;St. Anton am Arlberg;2897,329529
MULTILINESTRING ((203769.882814356 5245816.60122043,201891.028516555 5245237.25017945));Pfaffenhofen;6405;Lehngasse 1;47,2987727;11,0814075;30884137;Umspannwerk Rietz;110000;;Rietz;1966,148799
MULTILINESTRING ((166222.296560868 5249105.37034498,175917.97334348 5237591.53121288));Pfafflar;6647;Bschlabs 30;47,3102417;10,58368874;100872499;110kV Freischaltanlage;110000;;Imsterberg;15052,39648
MULTILINESTRING ((177557.233530946 5270382.86943619,179805.436860635 5268787.09566301));Pflach;6600;Kohlplatz 7;47,5068414;10,7177525;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;2756,975181
MULTILINESTRING ((231639.02297181 5226799.95250808,232355.655329337 5220437.2334971));Pfons;6143;Waldfrieden 23;47,1399864;11,460702;42352281;Umspannwerk Steinach;110000;TIWAG-Netz AG;Steinach am Brenner;6402,948942
MULTILINESTRING ((160538.271677866 5211464.81421236,170910.688142686 5222000.04289397));Pfunds;6542;Stuben 45;46,9696471;10,5371198;100602290;Umspannwerk Prutz;"220000;110000";;Prutz;14784,38591
MULTILINESTRING ((159539.150433969 5229431.80675966,158562.1639262 5228221.11320397));Pians;6551;Hnr. 47;47,13031895;10,5104929;580543598;UW Tobadill;"110000;25000";TiNetz;Tobadill;1555,725401
MULTILINESTRING ((249317.878186679 5246175.50109002,250833.806394604 5249605.00223491));Pill;6136;Dorf 9;47,3210064;11,6825919;151010933;Umspannwerk Schwaz;110000;;Vomp;3749,60217
MULTILINESTRING ((174651.328973719 5274627.82644974,179805.436860635 5268787.09566301));Pinswang;6600;Unterpinswang 1 b;47,5434824;10,6761381;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;7789,670355
MULTILINESTRING ((208872.029090216 5243712.36985897,213733.375500649 5243144.303752));Polling_in_Tirol;6404;Polling 107;47,282167;11,150115;147563007;Umspannwerk Zirl;110000;TIWAG;Zirl;4894,424177
MULTILINESTRING ((300458.056917485 5210350.27653322,311322.094171908 5212131.76462445));Pr�graten_am_Gro�venediger;9974;Sankt Andr� 35;47,0165615;12,3744564;85699520;UW Gruben;110000;TIWAG;Matrei in Osttirol;11009,13281
MULTILINESTRING ((170838.117660545 5222812.80468412,170910.688142686 5222000.04289397));Prutz;6522;Obergasse 1;47,0766651;10,6638762;100602290;Umspannwerk Prutz;"220000;110000";;Prutz;815,995222
MULTILINESTRING ((267105.016006232 5259393.90255624,263635.105022027 5258139.18811317));Radfeld;6241;Dorfstra�e 57;47,4463433;11,9106765;485429676;Umspannwerk Kramsach;110000;TIWAG;Kramsach;3689,795465
MULTILINESTRING ((263046.392156102 5232965.75945461,265176.262490773 5235805.82192859));Ramsau_im_Zillertal;6284;Ramsau 35;47,2074305;11,8709899;156973414;Umspannwerk Zell am Ziller;"380000;220000;110000";Austrian Power Grid AG;Rohrberg;3549,972183
MULTILINESTRING ((213420.258531705 5240750.38195594,213733.375500649 5243144.303752));Ranggen;6179;Oberdorf 14;47,2575756;11,2120255;147563007;Umspannwerk Zirl;110000;TIWAG;Zirl;2414,312283
MULTILINESTRING ((265809.518428228 5258660.27259103,263635.105022027 5258139.18811317));Rattenberg;6240;Pfarrgasse 92�93;47,4392877;11,8939062;485429676;Umspannwerk Kramsach;110000;TIWAG;Kramsach;2235,979135
MULTILINESTRING ((299825.108443509 5261493.63840315,303252.223421196 5259181.14481888));Reith_bei_Kitzb�hel;6365;Dorf 5 ;47,4760864;12,3432339;99841738;Umspannwerk Kitzbühel;;;Kitzbühel;4134,337147
MULTILINESTRING ((212945.347394151 5245435.65700118,213733.375500649 5243144.303752));Reith_bei_Seefeld;6103;Lauserweg 15;47,2994351;11,2027494;147563007;Umspannwerk Zirl;110000;TIWAG;Zirl;2423,074082
MULTILINESTRING ((264569.635666251 5256215.25825195,263635.105022027 5258139.18811317));Reith_im_Alpbachtal;6235;Dorf 1;47,4168735;11,8787868;485429676;Umspannwerk Kramsach;110000;TIWAG;Kramsach;2138,890749
MULTILINESTRING ((295006.774889546 5280728.21686651,294074.198805522 5280500.42022514));Rettensch�ss;6347;Rettensch�ss 66;47,64746194;12,27038565;94232595;Umspannwerk Ebbs;110000;;Ebbs;959,9945116
MULTILINESTRING ((177504.379458635 5268425.05615691,179805.436860635 5268787.09566301));Reutte;6600;Obermarkt 1;47,4892481;10,7184836;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;2329,364242
MULTILINESTRING ((169808.392757677 5220359.00089597,170910.688142686 5222000.04289397));Ried_im_Oberinntal;6531;Ried i.O. 98;47,054134;10,6521454;100602290;Umspannwerk Prutz;"220000;110000";;Prutz;1976,884912
MULTILINESTRING ((262965.514273745 5243405.93181608,262886.15072973 5249563.93402539));Ried_im_Zillertal;6273;Gro�riedstra�e 4;47,3012052;11,86438575;89425769;Umspannwerk Fügen;110000;TIWAG;Fügen;6158,513602
MULTILINESTRING ((199863.06494703 5244624.07041342,201891.028516555 5245237.25017945));Rietz;6421;Kluibenschedlstra�e 7;47,2862906;11,0306563;30884137;Umspannwerk Rietz;110000;;Rietz;2118,637691
MULTILINESTRING ((235371.174302827 5238890.88243114,235156.117778468 5241651.09149436));Rinn;6074;Dorfstra�e 6;47,2500928;11,5026927;121265317;Umspannwerk Hall;110000;TIWAG-Netz AG;Hall in Tirol;2768,574251
MULTILINESTRING ((265227.153109927 5236172.60302871,265176.262490773 5235805.82192859));Rohrberg;6280;Rohr 22;47,2370271;11,8980618;156973414;Umspannwerk Zell am Ziller;"380000;220000;110000";Austrian Power Grid AG;Rohrberg;370,2947887
MULTILINESTRING ((183521.539786275 5237887.00757563,187365.77660181 5240450.69450492));Roppen;6426;Mairhof 78;47,2181484;10,8198828;100404264;Tiwag Umspannwerk Ötztal;110000;TIWAG;Haiming;4620,676072
MULTILINESTRING ((232209.745577365 5243175.66960083,233115.408958851 5241525.43395103));Rum;6063;Rathausplatz 1;47,2872932;11,4584237;24768685;Umspannwerk Thaur;"220000;110000";TIWAG-Netz AG;Thaur;1882,419682
MULTILINESTRING ((140995.974049223 5230346.77689532,144636.086167374 5231942.64989408));Sankt_Anton_am_Arlberg;6580;Dorfstra�e 46;47,128693;10,2660762;100619811;Umspannwerk Sankt Jakob;110000;;St. Anton am Arlberg;3974,572538
MULTILINESTRING ((296812.90835927 5199268.61497064,313503.984418098 5205720.08281869));Sankt_Jakob_in_Defereggen;9963;Unterrotte 75;46,9158389;12,3315089;236771754;UW Matrei;;;Matrei in Osttirol;17894,50914
MULTILINESTRING ((316110.246506395 5263620.87349154,321484.487608143 5260171.60353426));Sankt_Jakob_in_Haus;6392;Dorf 2;47,5000126;12,5582763;94790504;Umspannwerk Hochfilzen;110000;;Hochfilzen;6385,916587
MULTILINESTRING ((319288.276195267 5197081.39775275,317362.636820122 5199395.64236732));Sankt_Johann_im_Walde;9952;St. Johann im Walde 48;46,9026711;12,6272751;85703086;KW Kalserbach;110000;TIWAG;Kals am Großglockner;3010,617069
MULTILINESTRING ((306558.103311161 5266351.10288237,305662.479878842 5265742.71562897));Sankt_Johann_in_Tirol;6380;Bahnhofstra�e 5;47,5217847;12,4303707;94505943;Umspannwerk St. Johann;110000;;St. Johann in Tirol;1082,71713
MULTILINESTRING ((184648.914357393 5220875.83446185,170910.688142686 5222000.04289397));Sankt_Leonhard_im_Pitztal;6481;Nr. 115;47,0660182;10,8466613;100602290;Umspannwerk Prutz;"220000;110000";;Prutz;13784,14684
MULTILINESTRING ((204530.314964928 5235213.14337792,201891.028516555 5245237.25017945));Sankt_Sigmund_im_Sellrain;6184;St. Sigmund 25;47,20392395;11,0984507;30884137;Umspannwerk Rietz;110000;;Rietz;10365,73925
MULTILINESTRING ((317339.385930944 5266751.7027306,321484.487608143 5260171.60353426));Sankt_Ulrich_am_Pillersee;6393;Dorfstra�e 15;47,5285046;12,5732839;94790504;Umspannwerk Hochfilzen;110000;;Hochfilzen;7776,861407
MULTILINESTRING ((303816.303784019 5199984.92412295,313503.984418098 5205720.08281869));Sankt_Veit_in_Defereggen;9962;Gsaritzen 28;46,9243845;12,4230799;236771754;UW Matrei;;;Matrei in Osttirol;11258,02831
MULTILINESTRING ((186705.44721417 5236560.17995602,187365.77660181 5240450.69450492));Sautens;6432;Dorfstra�e 55;47,2077653;10,86275126;100404264;Tiwag Umspannwerk Ötztal;110000;TIWAG;Haiming;3946,154882
MULTILINESTRING ((218150.280680205 5255296.4594722,213733.375500649 5243144.303752));Scharnitz;6108;Adolf-Klinge-Platz 72;47,3902353;11,2652018;147563007;Umspannwerk Zirl;110000;TIWAG;Zirl;12929,96288
MULTILINESTRING ((158679.131045703 5272232.20463251,179805.436860635 5268787.09566301));Schattwald;6677;Nr. 41;47,51380536;10,4663935;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;21405,36319
MULTILINESTRING ((292952.582873723 5267578.00827092,294381.970894887 5267146.88355091));Scheffau_am_Wilden_Kaiser;6351;Dorf 45;47,5286216;12,2492693;94552553;Umspannwerk Ellmau;110000;;Ellmau;1492,989832
