WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;landuse/name;substation/voltage;location/operator;Polit. Gemeinde;distance
MULTILINESTRING ((176534.056350484 5232707.97008518,175917.97334348 5237591.53121288));Wenns;6473;Unterdorf 9;47,1682739;10,7315858;100872499;110kV Freischaltanlage;110000;;Imsterberg;4922,268538
MULTILINESTRING ((289919.813051458 5256929.44802241,294666.79344923 5259683.10379237));Westendorf;6363;Dorfplatz 1;47,43194635;12,21409399;156990742;Umspannwerk Brixen;110000;TIWAG-Netz AG;Brixen in Tirol;5487,845023
MULTILINESTRING ((258402.211313811 5255063.43237262,261436.853541757 5253621.10203438));Wiesing;6210;Dorf 19;47,4042716;11,79778;84789829;Schaltwerk Strass;220000;;Schlitters;3359,965812
MULTILINESTRING ((197864.237523479 5247885.17278271,201891.028516555 5245237.25017945));Wildermieming;6413;Wildermieming 36;47,31464565;11,00207774;30884137;Umspannwerk Rietz;110000;;Rietz;4819,392059
MULTILINESTRING ((277388.409461138 5258641.90236341,272025.542766025 5261541.84139136));Wildsch�nau;6314;Oberau 116;47,4431784;12,0472722;94514064;Umspannwerk Kundl;110000;TIWAG-Netz AG;Kundl;6096,719245
MULTILINESTRING ((278818.423398127 5263461.47822541,280722.575313024 5266536.61016587));W�rgl;6300;Bahnhofstra�e 15;47,4869748;12,0638014;105080874;Kraftwerk Kirchbichl (i.b.);110000;;Kirchbichl;3616,936683
MULTILINESTRING ((165659.70511678 5232208.3730427,163683.984437627 5230595.80189101));Zams;6511;Hauptstra�e 53;47,1583614;10,5888903;102601926;Umspannwerk Landeck;110000;TIWAG;Landeck;2550,266245
MULTILINESTRING ((263874.598211014 5235845.77169771,265176.262490773 5235805.82192859));Zell_am_Ziller;6283;Unterdorf 2;47,2336056;11,8803908;156973414;Umspannwerk Zell am Ziller;"380000;220000;110000";Austrian Power Grid AG;Rohrberg;1302,277191
MULTILINESTRING ((263748.620430528 5235934.51948927,265176.262490773 5235805.82192859));Zellberg;6277;Zellbergeben 31;47,2343577;11,87868209;156973414;Umspannwerk Zell am Ziller;"380000;220000;110000";Austrian Power Grid AG;Rohrberg;1433,431168
MULTILINESTRING ((215683.920486907 5242457.53850706,213733.375500649 5243144.303752));Zirl;6170;B�helstra�e 1;47,2738885;11,2407933;147563007;Umspannwerk Zirl;110000;TIWAG;Zirl;2067,914951
MULTILINESTRING ((159572.209233238 5271474.39724469,179805.436860635 5268787.09566301));Z�blen;6677; Z�blen 39;47,5074757;10,4788028;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;20410,90615
