WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;location/substatoin;name/operator;operator;substation/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((398077.313818526 5371045.61870455,407761.312144478 5371510.00539332));Sankt_Roman;4793;Altendorf 11;48,4842684;13,6206878;97989146;Kraftwerk Ranna;Energie AG;substation;110000;Neustift im Mühlkreis;9695,126537
MULTILINESTRING ((433811.613304006 5379810.61851278,425762.597979082 5378618.29438513));Sankt_Stefan-Afiesl;4170;St. Stefan am Walde 65;48,5678909;14,1028075;98308316;Umspannwerk Rohrbach-Berg (i.b.);;substation;110000;Rohrbach-Berg;8136,847333
MULTILINESTRING ((417213.806349467 5348607.30706048,412292.417524792 5343247.1638294));Sankt_Thomas;4732;St. Thomas 100;48,2852507;13,8840248;95024146;Umspannwerk Grieskirchen;Energie AG;substation;110000;Grieskirchen;7276,757755
MULTILINESTRING ((482285.387557671 5351117.39824444,482178.974195514 5339186.37962415));Sankt_Thomas_am_Blasenstein;4364;Markt 7;48,3129999;14,7610755;174531795;Umspannwerk Baumgartenberg;Linz Strom GmbH;substation;;Baumgartenberg;11931,49316
MULTILINESTRING ((457072.476532719 5318862.04342527,456146.94557819 5318422.92204824));Sankt_Ulrich_bei_Steyr;4400;Pfarrplatz 7;48,0216066;14,4242879;259327225;Umspannwerk St. Ullrich bei Steyr (i.b.);;substation;110000;St. Ulrich bei Steyr;1024,419412
MULTILINESTRING ((429307.301155357 5369240.74490349,425762.597979082 5378618.29438513));Sankt_Ulrich_im_M�hlkreis;4116;Ulrichstra�e 4;48,4723218;14,0435513;98308316;Umspannwerk Rohrbach-Berg (i.b.);;substation;110000;Rohrbach-Berg;10025,13615
MULTILINESTRING ((371866.156422185 5340764.14974273,371579.282921807 5339683.90759487));Sankt_Veit_im_Innkreis;5273;St. Veit 31;48,2071648;13,2753398;122351223;Umspannwerk Roßbach;;substation;110000;Roßbach;1117,684885
MULTILINESTRING ((437977.741622285 5369031.49424289,431814.017660815 5355571.75854654));Sankt_Veit_im_M�hlkreis;4173;St. Veit i.M. 3;48,4713545;14,1608765;587747481;Umspannwerk Feldkirchen;;substation;;Feldkirchen an der Donau;14803,91766
MULTILINESTRING ((402621.808208907 5357253.59364024,407761.312144478 5371510.00539332));Sankt_Willibald;4762;St. Willibald 21;48,3609414;13,6853741;97989146;Kraftwerk Ranna;Energie AG;substation;110000;Neustift im Mühlkreis;15154,52991
MULTILINESTRING ((383610.296580622 5288440.52761638,387989.422605964 5286535.00315314));Sankt_Wolfgang_im_Salzkammergut;5360;Markt 28;47,7388342;13,4475236;95640323;Umspannwerk Strobl;Energie AG;substation;110000;St. Wolfgang im Salzkammergut;4775,747923
