WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;location/substatoin;name/operator;operator;substation/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((419653.859319868 5317228.37669636,418436.025964044 5317393.83995706));Vorchdorf;4655;Schlo�platz 7;48,0033004;13,9228338;124415043;Umspannwerk Vorchdorf;Energie AG;substation;110000;Vorchdorf;1229,022446
MULTILINESTRING ((440987.189007031 5284341.45149666,433749.443098255 5306426.87764843));Vorderstoder;4574;Vorderstoder 66;47,70975702;14,21329606;95025696;Umspannwerk Kirchdorf;;substation;110000;Kirchdorf an der Krems;23241,14916
MULTILINESTRING ((442396.356827622 5377924.20418525,425762.597979082 5378618.29438513));Vorderwei�enbach;4190;Hauptstra�e 4a;48,5517696;14,2194239;98308316;Umspannwerk Rohrbach-Berg (i.b.);;substation;110000;Rohrbach-Berg;16648,23398
MULTILINESTRING ((415287.235306005 5353544.65555261,412292.417524792 5343247.1638294));Waizenkirchen;4730;Marktplatz 3;48,3294068;13,8570682;95024146;Umspannwerk Grieskirchen;Energie AG;substation;110000;Grieskirchen;10724,14422
MULTILINESTRING ((458486.288076303 5372960.70945449,462839.408506459 5371606.8149626));Waldburg;4240;Waldburg 38;48,5083901;14,43793685;35034309;Umspannwerk Freistadt;Linz Strom AG;substation;"110000;20000";Freistadt;4558,803327
MULTILINESTRING ((496096.239361507 5346769.21395239,482178.974195514 5339186.37962415));Waldhausen_im_Strudengau;4391;Markt 14;48,2741166;14,9473883;174531795;Umspannwerk Baumgartenberg;Linz Strom GmbH;substation;;Baumgartenberg;15848,96357
MULTILINESTRING ((437564.784343109 5355602.71668048,437067.724471777 5351667.20077083));Walding;4111;Hauptstra�e 19;48,3505142;14,1572886;91579706;Kraftwerk Ottensheim;Energie AG;substation;110000;Wilhering;3966,781314
MULTILINESTRING ((412645.089519203 5365825.57934461,407761.312144478 5371510.00539332));Waldkirchen_am_Wesen;4085;Waldkirchen am Wesen 61;48,43951;13,8188751;97989146;Kraftwerk Ranna;Energie AG;substation;110000;Neustift im Mühlkreis;7494,263203
MULTILINESTRING ((444727.278913236 5316136.64123595,440922.881626302 5322041.29268108));Waldneukirchen;4595;Dorfplatz 1;47,9961388;14,2590873;95025698;Umspannwerk Bad Hall;;substation;110000;Bad Hall;7024,126095
MULTILINESTRING ((382946.839261369 5332548.44358898,389677.978809151 5340781.44565609));Waldzell;4924;Hofmark 1;48,13541705;13,42668509;81216242;Umspannwerk Ried;;substation;110000;Hohenzell;10634,40467
MULTILINESTRING ((421780.207849784 5342597.66059715,426039.231330076 5337230.99902159));Wallern_an_der_Trattnach;4702;Marktplatz 1;48,2317732;13,9466809;37232839;Umspannwerk Puchberg;;substation;110000;Wels;6851,301882
MULTILINESTRING ((434233.564391695 5315482.48510684,434668.57127202 5321103.34256907));Wartberg_an_der_Krems;4552;Hauptstra�e 21;47,9892606;14,1185386;50899766;Umspannwerk Kremsmünster;Energie AG;substation;110000;Kremsmünster;5637,665261
MULTILINESTRING ((463565.455321712 5355106.18582515,462973.208721925 5356404.63162904));Wartberg_ob_der_Aist;4224;Hauptstra�e 5;48,3480828;14,5082541;95843031;Umspannwerk Friensdorf;Linz Strom AG;substation;110000;Wartberg ob der Aist;1427,136132
MULTILINESTRING ((403536.682399813 5337573.30569497,412292.417524792 5343247.1638294));Weibern;4675;Hauptstra�e 5;48,1840687;13,7022127;95024146;Umspannwerk Grieskirchen;Energie AG;substation;110000;Grieskirchen;10433,38697
MULTILINESTRING ((379203.46551173 5348452.96066389,381119.922046782 5356444.62642409));Weilbach;4984;Weilbach 34;48,27775048;13,37186271;95978048;Umspannwerk Antiesenhofen;;substation;110000;Antiesenhofen;8218,243564
MULTILINESTRING ((479323.807582954 5370391.77111297,462839.408506459 5371606.8149626));Weitersfelden;4272;Weitersfelden 11;48,48631096;14,72018249;35034309;Umspannwerk Freistadt;Linz Strom AG;substation;"110000;20000";Freistadt;16529,11808
MULTILINESTRING ((381870.957765772 5311944.3694232,379504.955627984 5315171.84306707));Wei�enkirchen_im_Attergau;4890;"Wei�enkirchen i.&nbsp;A. 13";47,9499119;13,4179157;95289063;Umspannwerk Frankenmarkt;;substation;110000;Weißenkirchen im Attergau;4001,818616
MULTILINESTRING ((434891.240698557 5334762.37959275,433060.360494445 5335935.0506233));Wei�kirchen_an_der_Traun;4616;Gemeindeplatz 1;48,1627702;14,1244143;87526678;Umspannwerk Marchtrenk (i.b.);;substation;110000;Marchtrenk;2174,230822
MULTILINESTRING ((427464.99461172 5334143.37363352,430074.614552559 5335090.8112534));Wels;4600;Stadtplatz 1;48,1563978;14,0246656;40917240;EWW - Umspannwerk Ost;EWW;substation;110000;Wels;2776,284258
MULTILINESTRING ((400934.089094028 5343742.55657921,412292.417524792 5343247.1638294));Wendling;4741;Wendling 14;48,23915693;13,66576698;95024146;Umspannwerk Grieskirchen;Energie AG;substation;110000;Grieskirchen;11369,12656
MULTILINESTRING ((364699.726144855 5343952.47618693,357630.404292775 5346590.55534145));Weng_im_Innkreis;4952;Hauptstra�e 30;48,234348;13,1779126;81540198;Umspannwerk St. Peter;Austrian Power Grid AG;substation;;St. Peter am Hart;7545,51344
MULTILINESTRING ((386073.029341718 5373881.50433825,384912.816186432 5379012.97073725));Wernstein_am_Inn;4783;Innstra�e 1;48,5077109;13,4575191;365493403;Umspannwerk Schardenberg (i.b.);;substation;110000;Schardenberg;5260,992489
MULTILINESTRING ((474919.947992298 5300494.64473071,463921.690666356 5304421.91374727));Weyer;8934;Marktplatz 8;47,8573029;14,6647094;42306133;Umspannwerk Großraming;;substation;110000;Reichraming;11678,40341
MULTILINESTRING ((393120.434926503 5306270.66255913,397021.295222577 5315383.57059721));Weyregg_am_Attersee;4852;Weyregger Str. 69;47,9008561;13,5699347;118098478;Umspannwerk Lenzing;;substation;;Lenzing;9912,709214
MULTILINESTRING ((439219.407701424 5353116.32841762,437067.724471777 5351667.20077083));Wilhering;4073;Linzer Stra�e 14;48,32830875;14,17997808;91579706;Kraftwerk Ottensheim;Energie AG;substation;110000;Wilhering;2594,16878
MULTILINESTRING ((467717.715983175 5381533.25826991,462266.53299852 5375733.75307855));Windhaag_bei_Freistadt;4263;Markt 1;48,5860517;14,5622542;497665559;Umspannwerk Rainbach im Mühlkreis;Linz AG;substation;"110000;30000";Rainbach im Mühlkreis;7959,249738
MULTILINESTRING ((476327.174150204 5347900.38645976,482178.974195514 5339186.37962415));Windhaag_bei_Perg;4322;Enzmilnerplatz 3;48,2838628;14,6808961;174531795;Umspannwerk Baumgartenberg;Linz Strom GmbH;substation;;Baumgartenberg;10496,54605
MULTILINESTRING ((449666.215794002 5285585.74609505,463921.690666356 5304421.91374727));Windischgarsten;4580;Hauptstra�e 5;47,7216868;14,32884413;42306133;Umspannwerk Großraming;;substation;110000;Reichraming;23622,4422
MULTILINESTRING ((379752.974476469 5342002.23004312,371579.282921807 5339683.90759487));Wippenham;4942;Wippenham 37;48,2198424;13,3810986;122351223;Umspannwerk Roßbach;;substation;110000;Roßbach;8496,108086
MULTILINESTRING ((453633.76596553 5325755.01795695,457005.560438222 5324054.88588836));Wolfern;4493;Kirchenplatz 5;48,0833794;14,3774261;33066376;Umspannwerk Steyr-Nord;Energie AG;substation;110000;Steyr;3776,168298
MULTILINESTRING ((401165.763528815 5328892.86881199,394713.630742453 5318462.35404121));Wolfsegg_am_Hausruck;4902;Schulstra�e 22;48,1056277;13,6723393;33840061;Umspannwerk Timelkam;;substation;110000;Timelkam;12264,81373
MULTILINESTRING ((374321.851345175 5306782.45491632,379504.955627984 5315171.84306707));Zell_am_Moos;4893;Kirchenplatz 1;47,9020517;13,3183613;95289063;Umspannwerk Frankenmarkt;;substation;110000;Weißenkirchen im Attergau;9861,359113
MULTILINESTRING ((396119.536959229 5325672.61344032,394713.630742453 5318462.35404121));Zell_am_Pettenfirst;4842;Zell a.P. 32;48,0758605;13,60535615;33840061;Umspannwerk Timelkam;;substation;110000;Timelkam;7346,047433
MULTILINESTRING ((398336.095085408 5352223.05188641,389677.978809151 5340781.44565609));Zell_an_der_Pram;4755;Hofmark 1;48,3150207;13,6287471;81216242;Umspannwerk Ried;;substation;110000;Hohenzell;14348,28668
MULTILINESTRING ((446073.10418659 5368383.98917889,448174.85574361 5352631.10442904));Zwettl_an_der_Rodl;4201;Marktplatz 2;48,4662761;14,2704754;24830381;Umspannwerk Nord;LINZ AG;substation;110000;Linz;15892,47424
