WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;name;location/substation;substation/voltage;access/operator;Polit. Gemeinde;distance
MULTILINESTRING ((601113.029167491 5324783.893199,597432.934043249 5326216.24325114));Laxenburg;2351;Schlossplatz 7�8;48,06831175;16,35729045;25541069;substation;Umspannwerk Wr. Neudorf;110000;;Wiener Neudorf;3949,015927
MULTILINESTRING ((520401.46433636 5343603.15059859,520028.208511981 5340571.50839357));Leiben;3652;Hauptstra�e 34;48,2453159;15,2748;30244554;substation;Umspannwerk Bergern;110000;"EVN;Verbund Austrian Power Grid AG";Zelking-Matzleinsdorf;3054,533413
MULTILINESTRING ((592249.984561665 5363848.13992156,589272.09822496 5360734.29702432));Leitzersdorf;2003;Johannesplatz 1;48,4210259;16,24686;33631764;substation;Stockerau;110000;;Stockerau;4308,575707
MULTILINESTRING ((544374.456097389 5368929.63010008,544872.167151988 5361673.36285132));Lengenfeld;3552;Langenloiserstra�e 13;48,4719312;15,600365;94239516;substation;Umspannwerk Mitterau (i.b.);110000;EVN;Krems an der Donau;7273,316347
MULTILINESTRING ((597902.790107121 5359043.59977825,597502.435986784 5357559.42577289));Leobendorf;2100;Stockerauer Stra�e 9;48,37695995;16,32212288;142188185;substation;Umspannwerk Leobendorf (i.b.);;;Leobendorf;1537,223438
MULTILINESTRING ((590925.240218653 5309088.30737113,588571.474215591 5308571.27038072));Leobersdorf;2544;Rathausplatz 1;47,9286615;16,21724251;69859724;substation;Umspannwerk Enzesfeld;110000;Wien Energie;Enzesfeld-Lindabrunn;2409,884156
MULTILINESTRING ((604034.980435017 5329267.06359455,605675.711652691 5331046.93862996));Leopoldsdorf;2333;Hauptstra�e 27;48,1081651;16,39759362;27795895;Austrian Power Grid AG;Umspannwerk Wien Südost;;;Wien;2420,734201
MULTILINESTRING ((625433.586196522 5342624.74526413,629743.02375817 5347266.27828595));Leopoldsdorf_im_Marchfelde;2285;Rathausplatz 3;48,2244364;16,6888821;671588826;substation;Umspannwerk Untersiebenbrunn (i.b.);;;Untersiebenbrunn;6333,646729
MULTILINESTRING ((526272.475086385 5371781.40419804,517850.003045043 5368984.83979065));Lichtenau_im_Waldviertel;3522;Lichtenau im Waldviertel 49;48,4986034;15,35563985;90866864;substation;Umspannwerk Sallingberg;110000;;Sallingberg;8874,615922
MULTILINESTRING ((589978.448805246 5272533.82843882,584654.270618364 5273644.04281021));Lichtenegg;2851;Hauptstra�e 22;47,5999664;16,1970016;96998954;substation;Umspannwerk Edlitz;110000;;Edlitz;5438,69923
MULTILINESTRING ((596692.67509103 5298806.65938275,595002.033424644 5296623.00230175));Lichtenw�rth;7202;Hauptstra�e 1;47,83533305;16,29213077;96358427;substation;Umspannwerk Wiener Neustadt;110000;;Wiener Neustadt;2761,634931
MULTILINESTRING ((544350.516705861 5318133.56493358,545884.521360537 5321481.39752931));Lilienfeld;3180;D�rflstra�e 4;48,0149555;15,5947198;90073458;substation;Umspannwerk Traisen;110000;EVN;Traisen;3682,547131
