WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;name;location/substation;substation/voltage;access/operator;Polit. Gemeinde;distance
MULTILINESTRING ((594185.407560854 5330306.35893516,597432.934043249 5326216.24325114));Perchtoldsdorf;2380;Marktplatz 11;48,1190462;16,2655404;25541069;substation;Umspannwerk Wr. Neudorf;110000;;Wiener Neudorf;5222,592705
MULTILINESTRING ((546084.773428443 5398511.54883154,546604.785141888 5388485.62309542));Pernegg;3753;Pernegg 73;48,73791825;15,62678775;88180087;substation;Umspannwerk Horn;;;Horn;10039,40233
MULTILINESTRING ((575483.248333037 5394773.46469393,577267.73736245 5394355.11529772));Pernersdorf;2052;Pfaffendorf 60;48,7014274;16,02589126;324055876;substation;Umspannwerk Peigarten;;EVN;Pernersdorf;1832,87133
MULTILINESTRING ((571630.923846179 5305507.0939108,578957.545144307 5302136.68766567));Pernitz;2761;Gentzschgasse 1;47,89889185;15,95839124;106530735;substation;Umspannwerk Waldegg;110000;;Waldegg;8064,677173
MULTILINESTRING ((559099.899802556 5345569.19966332,552802.325164936 5348170.76549941));Perschling;3142;Hauptstra�e 21;48,2605753;15,7962927;119428954;substation;Umspannwerk Herzogenburg (i.b.);;;Herzogenburg;6813,779503
MULTILINESTRING ((505948.63963542 5337176.9762248,503557.09731282 5332607.39793134));Persenbeug-Gottsdorf;3680;Rathausplatz 1;48,1878011;15,0800362;30076588;substation;Umspannwerk Ybbsfeld;"220000;110000";;St. Martin-Karlsbach;5157,56924
MULTILINESTRING ((639045.045127941 5330760.82315154,638853.4572423 5328620.62229775));Petronell-Carnuntum;2404;Kirchenplatz 1;48,1149171;16,8681751;122857785;substation;Umspannwerk Petronell;;EVN;Petronell-Carnuntum;2148,759087
MULTILINESTRING ((511373.022843574 5332247.30059183,509992.25777215 5328638.23432837));Petzenkirchen;3252;Bergmannplatz 1;48,14337535;15,1528867;128228754;substation;Umspannwerk Wieselburg-Land (i.b.);;;Wieselburg-Land;3864,177982
MULTILINESTRING ((514050.849059148 5409948.03161202,520264.74928276 5406037.88787496));Pfaffenschlag_bei_Waidhofen_a.d.Thaya;3834;Pfaffenschlag 110;48,8423458;15,1914987;88285465;substation;Umspannwerk Waidhofen an der Thaya;110000;;Waidhofen an der Thaya;7341,783164
MULTILINESTRING ((593140.535917091 5319522.19875694,595814.06644718 5318215.97600282));Pfaffst�tten;2511;Marktgemeinde Pfaffst�tten;48,02219715;16,24915415;33624954;substation;Umspannwerk Traiskirchen;110000;;Traiskirchen;2975,56438
MULTILINESTRING ((614119.871782516 5357943.89449591,611446.476161859 5357503.1856525));Pillichsdorf;2211;Hauptplatz 1;48,3643452;16,5407506;28504203;substation;Umspannwerk Eibesbrunn;110000;;Großebersdorf;2709,47752
MULTILINESTRING ((589076.153662557 5285461.64576675,587604.513250931 5284131.5855979));Pitten;2822;Wiener Neust�dterstra�e 24;47,716387;16,18763557;99761299;substation;Umspannwerk Pitten;110000;EVN;Seebenstein;1983,629389
MULTILINESTRING ((515669.945842293 5339905.4057008,520028.208511981 5340571.50839357));P�chlarn;3380;Kirchenplatz 1;48,2121828;15,210932;30244554;substation;Umspannwerk Bergern;110000;"EVN;Verbund Austrian Power Grid AG";Zelking-Matzleinsdorf;4408,871318
MULTILINESTRING ((515104.923365142 5351570.61999087,519038.711898816 5349895.53807386));P�ggstall;3650;Untere Hauptstra�e 8;48,3171451;15,203743;90904770;substation;Umspannwerk Am Schuss;;EVN;Weiten;4275,580856
MULTILINESTRING ((532957.540381853 5387820.22490467,532665.971380947 5381958.07311275));P�lla;3594;Neup�lla 4;48,64257375;15,44740139;113597106;substation;Speicherkraftwerk Dobra-Krumau;;EVN;Krumau am Kamp;5869,398275
MULTILINESTRING ((604274.097011567 5306898.24474426,601405.021018855 5309331.52979715));Pottendorf;2485;Alte Spinnerei 1;47,9069298;16,39536629;675291183;substation;Umspannwerk WP Pottendorf;;Wiener Netze;Pottendorf;3761,977299
MULTILINESTRING ((581920.333234975 5312283.70766406,581972.182365645 5311740.72990095));Pottenstein;2564;Hauptplatz 13;47,9586205;16,0973236;584431023;substation;Umspannwerk Pottenstein;110000;EVN;Pottenstein;545,447691
MULTILINESTRING ((619966.196144968 5391910.69405971,620039.813322047 5390434.16769948));Poysdorf;2170;Josefsplatz 1;48,6687163;16,6294192;80855358;substation;Umspannwerk Poysdorf;110000;;Poysdorf;1478,360437
MULTILINESTRING ((645422.007581853 5326491.70901724,642819.547830474 5331645.08737608));Prellenkirchen;2472;Hauptplatz 7;48,0751057;16,9523496;83643796;substation;Umspannwerk Deutsch-Altenburg;110000;;Bad Deutsch-Altenburg;5773,223126
MULTILINESTRING ((580046.811359688 5336788.66970989,591900.288804487 5339350.78106016));Pressbaum;3021;Hauptstra�e 58;48,17929175;16,07682155;26209260;Wien Energie GmbH;Umspannwerk Wien West;;;Wien;12127,21494
MULTILINESTRING ((569627.031945947 5283727.93243627,570048.568443631 5279373.52213075));Prigglitz;2630;Prigglitz 39;47,7031803;15,92808717;96989592;substation;Umspannwerk Hart;110000;;Gloggnitz;4374,766523
MULTILINESTRING ((538401.022301456 5339011.01372026,545100.345377189 5338662.64673369));Prinzersdorf;3385;Hauptplatz 1;48,2031679;15,5168233;85620021;substation;Umspannwerk St. Pölten;110000;;St. Pölten;6708,374559
MULTILINESTRING ((628761.160185078 5360675.18672527,626961.377531279 5355952.60991305));Prottes;2242;Hauptplatz 1;48,38608955;16,73917225;96346322;substation;Umspannwerk Gänserndorf;110000;EVN;Gänserndorf;5053,904367
MULTILINESTRING ((568407.776099087 5293313.17726854,577352.902013717 5284630.70752574));Puchberg_am_Schneeberg;2761;Wiener Neust�dter Stra�e 17;47,7895437;15,9133448;128191035;substation;Umspannwerk Schöller;;;Ternitz;12465,97603
MULTILINESTRING ((521433.90456365 5308264.86320177,519918.330124153 5303024.91094829));Puchenstuben;3214;Christian Haller Stra�e 1;47,92734545;15,28693255;122763233;substation;Umspannwerk Erlaufboden;110000;EVN;Mitterbach am Erlaufsee;5454,728728
MULTILINESTRING ((563226.666917989 5395107.97416448,561261.051543603 5390367.76142984));Pulkau;3741;Rathausplatz 1;48,7057991;15,859385;95211290;substation;Umspannwerk Eggenburg;110000;;Röschitz;5131,59435
MULTILINESTRING ((509915.527062809 5322834.42914158,509992.25777215 5328638.23432837));Purgstall_an_der_Erlauf;3251;P�chlarner Stra�e 15�17;48,0587121;15,133075;128228754;substation;Umspannwerk Wieselburg-Land (i.b.);;;Wieselburg-Land;5804,312384
MULTILINESTRING ((587515.409757945 5340045.57471989,591900.288804487 5339350.78106016));Purkersdorf;3012;Hauptplatz 1;48,2076026;16,17794239;26209260;Wien Energie GmbH;Umspannwerk Wien West;;;Wien;4439,583593
MULTILINESTRING ((550996.471876174 5334173.25619695,551198.53316682 5341527.96997473));Pyhra;3143;Hauptstra�e 13;48,1587592;15,6857484;27797285;substation;Umspannwerk Pottenbrunn;"380000;110000";EVN;St. Pölten;7357,488941
MULTILINESTRING ((536270.713901075 5410582.14628585,520264.74928276 5406037.88787496));Raabs_an_der_Thaya;3823;Hauptstra�e 25;48,8471493;15,4943807;88285465;substation;Umspannwerk Waidhofen an der Thaya;110000;;Waidhofen an der Thaya;16638,54524
MULTILINESTRING ((569875.163401343 5277066.4954336,570048.568443631 5279373.52213075));Raach_am_Hochgebirge;2640;Raach am Hochgebirge 39;47,6432238;15,9303283;96989592;substation;Umspannwerk Hart;110000;;Gloggnitz;2313,534415
MULTILINESTRING ((616457.719524469 5344823.65520912,620459.367227897 5355185.91406213));Raasdorf;2281;Bahnstra�e 5;48,24592365;16,56868122;123444716;substation;Umspannwerk Bockfließ;110000;EVN;Bockfließ;11108,08682
MULTILINESTRING ((640204.372442987 5389663.15320691,632629.820581465 5385204.50777335));Rabensburg;2274;Hauptstra�e 24;48,6442933;16,9033925;96616299;substation;Umspannwerk Neusiedl an der Zaya;110000;;Neusiedl an der Zaya;8789,388773
MULTILINESTRING ((534682.369881055 5323669.45174388,529072.523293099 5326300.27710733));Rabenstein_an_der_Pielach;3203;Marktplatz 6;48,0653589;15,465528;91062369;substation;Umspannwerk Kilb (i.b.);110000;;Kilb;6196,097226
MULTILINESTRING ((559897.411691109 5316941.04350878,557293.112612108 5320301.97898471));Ramsau;3172;Dorfplatz 1;48,0029589;15,8030114;91117108;substation;Umspannwerk Hainfeld;110000;EVN;Hainfeld;4251,853827
MULTILINESTRING ((497316.342314626 5317908.00974484,501759.593632452 5315300.37792861));Randegg;3263;Randegg 22;48,01445989;14,96401381;91067944;substation;Umspannwerk Gresten;;Wien Energie GmbH;Gresten;5151,914786
MULTILINESTRING ((505462.510435234 5375157.5054171,499339.85570147 5379892.91867076));Rappottenstein;3920;Rappottenstein 24;48,52950169;15,07398871;97379897;substation;Umspannwerk Groß-Gerungs;110000;;Groß Gerungs;7740,222198
MULTILINESTRING ((524346.000128124 5380165.08064356,532665.971380947 5381958.07311275));Rastenfeld;3532;Rastenfeld 30;48,5741022;15,3300523;113597106;substation;Speicherkraftwerk Dobra-Krumau;;EVN;Krumau am Kamp;8510,977831
MULTILINESTRING ((613700.71552985 5326606.99839923,612121.815187874 5332494.8423632));Rauchenwarth;2320;Kirchenplatz 1;48,0825887;16,5266876;194940326;substation;Umspannwerk Schwechat;110000;Wien Energie GmbH;Schwechat;6095,870146
MULTILINESTRING ((562722.996035766 5377968.96945554,561261.051543603 5390367.76142984));Ravelsbach;3720;Hauptplatz 5;48,5516811;15,8499466;95211290;substation;Umspannwerk Eggenburg;110000;;Röschitz;12484,68358
MULTILINESTRING ((520784.998062792 5354817.59364841,519038.711898816 5349895.53807386));Raxendorf;3654;Raxendorf 10;48,34619546;15,28051813;90904770;substation;Umspannwerk Am Schuss;;EVN;Weiten;5222,657029
MULTILINESTRING ((563255.453116274 5282834.06637194,570048.568443631 5279373.52213075));Reichenau_an_der_Rax;2651;Hauptstra�e 63;47,6957939;15,8430381;96989592;substation;Umspannwerk Hart;110000;;Gloggnitz;7623,764313
MULTILINESTRING ((510530.37593771 5423483.72727097,520264.74928276 5406037.88787496));Reingers;3863;Reingers 81;48,96417911;15,14386752;88285465;substation;Umspannwerk Waidhofen an der Thaya;110000;;Waidhofen an der Thaya;19977,87117
MULTILINESTRING ((505217.642889095 5314779.92716262,501759.593632452 5315300.37792861));Reinsberg;3264;Reinsberg Nr. 1;47,9863003;15,0699273;91067944;substation;Umspannwerk Gresten;;Wien Energie GmbH;Gresten;3496,994947
MULTILINESTRING ((613880.651649469 5317237.34943942,617065.104810541 5315133.45936735));Reisenberg;2440;Untere Ortsstra�e 1;47,9982867;16,52661041;96596880;substation;Umspannwerk Wasenbruck;110000;;Mannersdorf am Leithagebirge;3816,686439
MULTILINESTRING ((569861.180369246 5400934.63576012,577267.73736245 5394355.11529772));Retz;2070;Hauptplatz 30;48,7575009;15,95053733;324055876;substation;Umspannwerk Peigarten;;EVN;Pernersdorf;9906,925659
MULTILINESTRING ((573681.97528627 5401938.31123083,577267.73736245 5394355.11529772));Retzbach;2070;Dorfstra�e 2;48,7660881;16,002695;324055876;substation;Umspannwerk Peigarten;;EVN;Pernersdorf;8388,238804
MULTILINESTRING ((638028.712490029 5380232.96456478,632629.820581465 5385204.50777335));Ringelsdorf-Niederabsdorf;2272;Obere Hauptstra�e 115;48,5599866;16,8707377;96616299;substation;Umspannwerk Neusiedl an der Zaya;110000;;Neusiedl an der Zaya;7339,22855
MULTILINESTRING ((555015.279045005 5304928.09431725,557293.112612108 5320301.97898471));Rohr_im_Gebirge;2663;Rohr im Gebirge 24;47,895323;15,736029;91117108;substation;Umspannwerk Hainfeld;110000;EVN;Hainfeld;15541,7134
MULTILINESTRING ((638497.173620278 5325288.09590714,636879.999955674 5326946.01633517));Rohrau;2471;Joseph-Haydn-Platz 1;48,0658241;16,8590429;136384702;substation;Umspannwerk Scharndorf;;;Scharndorf;2316,020468
MULTILINESTRING ((555185.82779238 5321822.02484543,557293.112612108 5320301.97898471));Rohrbach_an_der_G�lsen;3163;Hauptplatz 4;48,0472943;15,7404802;91117108;substation;Umspannwerk Hainfeld;110000;EVN;Hainfeld;2598,304973
MULTILINESTRING ((537906.476292572 5389631.10699844,546604.785141888 5388485.62309542));R�hrenbach;3592;Greillenstein 4;48,65858355;15,51474677;88180087;substation;Umspannwerk Horn;;;Horn;8773,40927
MULTILINESTRING ((548582.745080974 5363093.03017828,548173.391362135 5361869.44372943));Rohrendorf_bei_Krems;3495;Obere Hauptstra�e 6;48,4191147;15,6566202;83730525;substation;Umspannwerk Krems an der Donau (i.b.);110000;EVN;Krems an der Donau;1290,245816
MULTILINESTRING ((565201.918220701 5390706.41919401,561261.051543603 5390367.76142984));R�schitz;3730;Hauptplatz 1;48,6660036;15,8855351;95211290;substation;Umspannwerk Eggenburg;110000;;Röschitz;3955,391162
MULTILINESTRING ((547422.051023645 5386352.22983034,546604.785141888 5388485.62309542));Rosenburg-Mold;3573;Rosenburg 25;48,6284382;15,6435794;88180087;substation;Umspannwerk Horn;;;Horn;2284,576623
MULTILINESTRING ((537404.317738106 5360570.53346713,544872.167151988 5361673.36285132));Rossatz-Arnsdorf;3621;Rossatz 29;48,39718475;15,5053203;94239516;substation;Umspannwerk Mitterau (i.b.);110000;EVN;Krems an der Donau;7548,841469
MULTILINESTRING ((520596.803535229 5331533.5973487,520028.208511981 5340571.50839357));Ruprechtshofen;3244;Hauptplatz 1;48,13672245;15,27684561;30244554;substation;Umspannwerk Bergern;110000;"EVN;Verbund Austrian Power Grid AG";Zelking-Matzleinsdorf;9055,779169
MULTILINESTRING ((576765.129401454 5366864.64247013,565131.734361793 5364231.29226894));Ru�bach;3702;Horner Stra�e 1;48,4502368;16,0381572;106810629;substation;Umspannwerk Kirchberg am Wagram (I.b.);110000;;Kirchberg am Wagram;11927,71619
MULTILINESTRING ((516985.319620396 5368021.35360823,517850.003045043 5368984.83979065));Sallingberg;3914;Sallingberg 31;48,4650964;15,2297719;90866864;substation;Umspannwerk Sallingberg;110000;;Sallingberg;1294,59764
MULTILINESTRING ((542056.016240779 5300142.76247183,535659.291481405 5308676.97176233));Sankt_Aegyd_am_Neuwalde;8694;Kirchenplatz 2;47,85325;15,5621959;33682610;substation;Umspannwerk Türnitz;110000;EVN;Türnitz;10665,40275
MULTILINESTRING ((589634.5077931 5353732.90091378,589272.09822496 5360734.29702432));Sankt_Andr�-W�rdern;3423;Altgasse 30;48,3304211;16,2093603;33631764;substation;Stockerau;110000;;Stockerau;7010,769444
MULTILINESTRING ((515624.883774782 5311804.73461782,507244.457983864 5309819.13485524));Sankt_Anton_an_der_Je�nitz;3283;St. Anton an der Je�nitz 5;47,9593624;15,2092972;98635106;substation;Kraftwerk Gaming 1;110000;;Gaming;8612,441167
MULTILINESTRING ((543897.197568709 5392711.60738104,546604.785141888 5388485.62309542));Sankt_Bernhard-Frauenhofen;3580;St. Bernhard 56;48,6859024;15,5964198;88180087;substation;Umspannwerk Horn;;;Horn;5018,961411
MULTILINESTRING ((576247.068977955 5270174.28901473,584654.270618364 5273644.04281021));Sankt_Corona_am_Wechsel;2870;St. Corona am Wechsel 70;47,5804996;16,0139523;96998954;substation;Umspannwerk Edlitz;110000;;Edlitz;9095,06629
MULTILINESTRING ((582594.632931195 5292592.65507243,582775.550491438 5286421.36217082));Sankt_Egyden_am_Steinfeld;2624;Egydiplatz 1;47,7813987;16,10259005;99761298;substation;Umspannwerk Hohe Wand;110000;;Neunkirchen;6173,944221
MULTILINESTRING ((491068.100772459 5298550.75374934,505077.731078287 5303737.01279106));Sankt_Georgen_am_Reith;3344;Dorf 58;47,8402404;14,8806303;98635107;substation;Umspannwerk Grubberg;110000;EVN;Gaming;14938,77586
MULTILINESTRING ((496649.155099873 5330628.88864293,493246.748844234 5328765.66501958));Sankt_Georgen_am_Ybbsfelde;3304;Marktstra�e 30;48,1289074;14,9549675;97392181;substation;Umspannwerk Amstetten-Ost;110000;;Amstetten;3879,17138
MULTILINESTRING ((516880.628571627 5319816.92608049,509992.25777215 5328638.23432837));Sankt_Georgen_an_der_Leys;3282;St. Georgen an der Leys Nr. 1;48,0314172;15,2264331;128228754;substation;Umspannwerk Wieselburg-Land (i.b.);;;Wieselburg-Land;11192,19065
MULTILINESTRING ((521221.371968787 5332200.81679617,520028.208511981 5340571.50839357));Sankt_Leonhard_am_Forst;3243;Hauptplatz 1;48,1427048;15,2852737;30244554;substation;Umspannwerk Bergern;110000;"EVN;Verbund Austrian Power Grid AG";Zelking-Matzleinsdorf;8455,30111
MULTILINESTRING ((541658.457196431 5382077.60265724,546604.785141888 5388485.62309542));Sankt_Leonhard_am_Hornerwald;3572;Kirchenplatz 1;48,59039505;15,564935;88180087;substation;Umspannwerk Horn;;;Horn;8094,991419
MULTILINESTRING ((536599.96663619 5334080.42224331,545100.345377189 5338662.64673369));Sankt_Margarethen_an_der_Sierning;3231;Hauptstra�e 10;48,1589159;15,4921598;85620021;substation;Umspannwerk St. Pölten;110000;;St. Pölten;9656,770683
MULTILINESTRING ((488083.006703983 5390292.49589551,499339.85570147 5379892.91867076));Sankt_Martin;3971;St. Martin 1;48,6655699;14,8381524;97379897;substation;Umspannwerk Groß-Gerungs;110000;;Groß Gerungs;15325,39904
MULTILINESTRING ((501412.344995 5334662.12471414,503557.09731282 5332607.39793134));Sankt_Martin-Karlsbach;3376;Hauptstra�e 1;48,1652015;15,0189941;30076588;substation;Umspannwerk Ybbsfeld;"220000;110000";;St. Martin-Karlsbach;2970,162396
MULTILINESTRING ((502780.513205332 5345972.26267283,503557.09731282 5332607.39793134));Sankt_Oswald;3684;Untere Hauptstra�e 3;48,26695255;15,03746825;30076588;substation;Umspannwerk Ybbsfeld;"220000;110000";;St. Martin-Karlsbach;13387,40798
MULTILINESTRING ((467848.7073883 5339736.25988557,465232.59547092 5341348.53664221));Sankt_Pantaleon-Erla;4303;Ringstra�e 13;48,21004;14,5672315;95828351;substation;Schaltwerk St. Pantaleon;110000;;St. Pantaleon-Erla;3073,024228
MULTILINESTRING ((472086.031109032 5321450.14979328,480722.734061937 5315033.5917806));Sankt_Peter_in_der_Au;4443;Hofgasse 6;48,0457242;14,6254642;96855956;substation;Umspannwerk Gerstl;110000;;Sonntagberg;10759,40773
MULTILINESTRING ((546289.57035077 5339200.66617629,545100.345377189 5338662.64673369));Sankt_P�lten;3100;Rathausplatz 1;48,2043478;15,6230067;85620021;substation;Umspannwerk St. Pölten;110000;;St. Pölten;1305,266623
MULTILINESTRING ((465304.988788433 5335814.7254775,465232.59547092 5341348.53664221));Sankt_Valentin;4482;Hauptplatz 7;48,1746256;14,5333137;95828351;substation;Schaltwerk St. Pantaleon;110000;;St. Pantaleon-Erla;5534,284669
MULTILINESTRING ((549898.306570267 5321359.4310456,545884.521360537 5321481.39752931));Sankt_Veit_an_der_G�lsen;3161;Kirchenplatz 1;48,0435679;15,6694839;90073458;substation;Umspannwerk Traisen;110000;EVN;Traisen;4015,637874
MULTILINESTRING ((634159.901278686 5328155.60438128,636879.999955674 5326946.01633517));Scharndorf;2403;Bodenzeile 1b;48,0925375;16,8017546;136384702;substation;Umspannwerk Scharndorf;;;Scharndorf;2976,917878
MULTILINESTRING ((512498.816311568 5316937.35932013,507244.457983864 5309819.13485524));Scheibbs;3270;Rathausplatz 1;48,0056102;15,16757275;98635106;substation;Kraftwerk Gaming 1;110000;;Gaming;8847,451665
MULTILINESTRING ((584847.42225069 5279304.82313168,587604.513250931 5284131.5855979));Scheiblingkirchen-Thernberg;2833;Hauptplatz 14;47,6615703;16,1300691;99761299;substation;Umspannwerk Pitten;110000;EVN;Seebenstein;5558,703688
MULTILINESTRING ((528314.038064302 5336208.83521568,520028.208511981 5340571.50839357));Schollach;3382;Gro�-Schollach 53;48,1784877;15,3808836;30244554;substation;Umspannwerk Bergern;110000;"EVN;Verbund Austrian Power Grid AG";Zelking-Matzleinsdorf;9364,181151
MULTILINESTRING ((593705.692282449 5309765.60871066,588571.474215591 5308571.27038072));Sch�nau_an_der_Triesting;2602;Liechtensteinstra�e 3;47,9343534;16,2546035;69859724;substation;Umspannwerk Enzesfeld;110000;Wien Energie;Enzesfeld-Lindabrunn;5271,303369
MULTILINESTRING ((502758.431318171 5366634.71893637,499339.85570147 5379892.91867076));Sch�nbach;3632;Sch�nbach 6;48,4528449;15,03730618;97379897;substation;Umspannwerk Groß-Gerungs;110000;;Groß Gerungs;13691,84135
MULTILINESTRING ((551514.530629599 5374287.42221878,551006.007464353 5362018.73021129));Sch�nberg_am_Kamp;3564;Hauptstra�e 36;48,5195841;15,6976208;47002504;substation;Umspannwerk Stratzdorf;110000;EVN;Gedersdorf;12279,22633
MULTILINESTRING ((531774.702966919 5348464.88356435,519038.711898816 5349895.53807386));Sch�nb�hel-Aggsbach;3392;Aggsbach 48;48,28858641;15,42835492;90904770;substation;Umspannwerk Am Schuss;;EVN;Weiten;12816,09304
MULTILINESTRING ((625683.629522803 5358405.35469179,626961.377531279 5355952.60991305));Sch�nkirchen-Reyersdorf;2241;Schulstra�e 2;48,3662985;16,6969447;96346322;substation;Umspannwerk Gänserndorf;110000;EVN;Gänserndorf;2765,609684
MULTILINESTRING ((565517.351650446 5278599.15393846,570048.568443631 5279373.52213075));Schottwien;2641;Schottwien 55;47,65746845;15,87254457;96989592;substation;Umspannwerk Hart;110000;;Gloggnitz;4596,908931
MULTILINESTRING ((574428.308377322 5293332.36839897,577352.902013717 5284630.70752574));Schrattenbach;2733;Rosental 30;47,78904865;15,9937191;128191035;substation;Umspannwerk Schöller;;;Ternitz;9179,986377
MULTILINESTRING ((626337.574884113 5398363.71800428,620039.813322047 5390434.16769948));Schrattenberg;2172;Hauptstra�e 25;48,7254859;16,7178916;80855358;substation;Umspannwerk Poysdorf;110000;;Poysdorf;10126,18234
MULTILINESTRING ((565958.463830504 5398957.11471554,561261.051543603 5390367.76142984));Schrattenthal;2073;Obermarkersdorf 36;48,740139;15,8971269;95211290;substation;Umspannwerk Eggenburg;110000;;Röschitz;9789,927071
MULTILINESTRING ((505255.625886469 5404471.05177986,499158.411928232 5400963.12544329));Schrems;3943;Hauptplatz 19;48,79321225;15,07155882;118938988;substation;Umspannwerk Gmünd;110000;EVN;Gmünd;7034,313416
MULTILINESTRING ((617797.255684254 5325252.48908642,620322.330713911 5324793.27609845));Schwadorf;2432;Hauptplatz 5;48,0696629;16,5812981;28968803;substation;Umspannwerk Enzersdorf;;;Enzersdorf an der Fischa;2566,491861
MULTILINESTRING ((587661.343337476 5287155.97400148,587604.513250931 5284131.5855979));Schwarzau_am_Steinfeld;2822;Neunkirchner Stra�e 107;47,7318224;16,1691173;99761299;substation;Umspannwerk Pitten;110000;EVN;Seebenstein;3024,922292
MULTILINESTRING ((552785.552159989 5295775.6473839,535659.291481405 5308676.97176233));Schwarzau_im_Gebirge;2661;Markt 60;47,8131682;15,7050835;33682610;substation;Umspannwerk Türnitz;110000;EVN;Türnitz;21441,85103
MULTILINESTRING ((519073.537699427 5399019.57071289,520264.74928276 5406037.88787496));Schwarzenau;3900;Waidhofnerstra�e 2;48,743901;15,25944477;88285465;substation;Umspannwerk Waidhofen an der Thaya;110000;;Waidhofen an der Thaya;7118,690949
MULTILINESTRING ((601966.701010967 5276546.16127533,587604.513250931 5284131.5855979));Schwarzenbach;2802;Markt 4;47,6342836;16,3573743;99761299;substation;Umspannwerk Pitten;110000;EVN;Seebenstein;16242,26276
MULTILINESTRING ((528576.15882425 5310502.9355913,535659.291481405 5308676.97176233));Schwarzenbach_an_der_Pielach;3212;Brunnrotte 40;47,9472029;15,3826915;33682610;substation;Umspannwerk Türnitz;110000;EVN;Türnitz;7314,705199
MULTILINESTRING ((609765.219149135 5332962.85816605,609751.954817976 5334708.0573269));Schwechat;2320;Rathausplatz 9;48,1404433;16,4754991;28766884;Wien Energie;Umspannwerk Kaiserebersdorf;;;Wien;1745,249568
MULTILINESTRING ((504668.249051363 5390483.583762,513236.690173687 5382914.34262505));Schweiggers;3932;Hauptplatz 25;48,6673852;15,0634029;86693139;substation;Umspannwerk Zwettl;110000;EVN;Zwettl;11432,91715
MULTILINESTRING ((586866.546432352 5284021.98764924,587604.513250931 5284131.5855979));Seebenstein;2831;Werksstra�e 21;47,7037372;16,15789466;99761299;substation;Umspannwerk Pitten;110000;EVN;Seebenstein;746,0608123
MULTILINESTRING ((587682.424940874 5395830.51147907,577267.73736245 5394355.11529772));Seefeld-Kadolz;2062;Seefeld 39;48,7093392;16,1918797;324055876;substation;Umspannwerk Peigarten;;EVN;Pernersdorf;10518,67441
MULTILINESTRING ((610253.349056083 5310617.19951456,617065.104810541 5315133.45936735));Seibersdorf;2444;Obere Hauptstra�e 8;47,9393793;16,47630387;96596880;substation;Umspannwerk Wasenbruck;110000;;Mannersdorf am Leithagebirge;8172,919889
MULTILINESTRING ((473999.465585936 5320412.52979301,480722.734061937 5315033.5917806));Seitenstetten;3353;Steyrer Stra�e 1;48,0364696;14,65120023;96855956;substation;Umspannwerk Gerstl;110000;;Sonntagberg;8610,186592
MULTILINESTRING ((562373.678386407 5275864.68812742,570048.568443631 5279373.52213075));Semmering;2680;Hochstra�e 1;47,63317775;15,83029256;96989592;substation;Umspannwerk Hart;110000;;Gloggnitz;8438,948599
MULTILINESTRING ((540988.741203278 5366489.84357372,544872.167151988 5361673.36285132));Senftenberg;3541;Neuer Markt 1;48,4502126;15,5543212;94239516;substation;Umspannwerk Mitterau (i.b.);110000;EVN;Krems an der Donau;6187,041591
MULTILINESTRING ((575426.892435606 5345220.69764675,577226.525206149 5351634.04460475));Sieghartskirchen;3443;Wienerstra�e 12;48,2557068;16,01618307;288347513;substation;Umspannwerk Tulln-West;;EVN;Tulln an der Donau;6661,058273
MULTILINESTRING ((586373.080417761 5364759.49087536,589272.09822496 5360734.29702432));Sierndorf;2011;Prager Stra�e 13;48,4300564;16,1676327;33631764;substation;Stockerau;110000;;Stockerau;4960,492897
MULTILINESTRING ((554719.698211287 5392981.09939723,561261.051543603 5390367.76142984));Sigmundsherberg;3751;Hauptstra�e 50;48,68747155;15,74348634;95211290;substation;Umspannwerk Eggenburg;110000;;Röschitz;7044,064079
MULTILINESTRING ((560598.448125716 5352178.11515609,565613.633203322 5353239.92441524));Sitzenberg-Reidling;3454;Leopold-Figl-Platz 4;48,3198863;15,8174299;59531071;substation;Umspannwerk Dürnrohr;"380000;220000;110000";"EVN;Verbund Austrian Power Grid AG";Zwentendorf an der Donau;5126,355456
MULTILINESTRING ((569412.134343893 5383274.6283979,579026.674762346 5379027.73752255));Sitzendorf_an_der_Schmida;3714;Hauptplatz 20;48,5987011;15,9414634;83947318;substation;Umspannwerk Hollabrunn;110000;;Hollabrunn;10510,73116
MULTILINESTRING ((593468.184411542 5305639.15188236,588571.474215591 5308571.27038072));Sollenau;2602;Hauptplatz 1;47,8972699;16,2505295;69859724;substation;Umspannwerk Enzesfeld;110000;Wien Energie;Enzesfeld-Lindabrunn;5707,459122
MULTILINESTRING ((623692.862867739 5316891.0980236,626392.103315974 5321266.35863879));Sommerein;2453;Schlo�stra�e 23;47,9933497;16,657992;107248400;substation;Umspannwerk Sarasdorf;"380000;110000";;Trautmannsdorf an der Leitha;5140,895296
MULTILINESTRING ((480669.064487042 5317408.07099658,480722.734061937 5315033.5917806));Sonntagberg;3340;Waidhofnerstra�e 20;48,0096751;14,740808;96855956;substation;Umspannwerk Gerstl;110000;;Sonntagberg;2375,085676
MULTILINESTRING ((590696.120458321 5315313.59909597,595814.06644718 5318215.97600282));Soo�;2504;Hauptstra�e 48;47,9846919;16,2154888;33624954;substation;Umspannwerk Traiskirchen;110000;;Traiskirchen;5883,635173
