wkt_geom;osm_id;cables;name;voltage;wires;ref;operator;length;;;;;;;;;;;
LineString (15.72689639999999933 47.09173090000000172, 15.72608560000000111 47.08998500000000575);103404966;1.0;;380000;3;476;Austrian Power Grid AG;203,55;;;;;;;;;;;
LineString (15.72614080000000136 47.09178819999999632, 15.72689639999999933 47.09173090000000172);103404964;1.0;;380000;0;477;Austrian Power Grid AG;57,7;;;;;;;;;;;
LineString (15.48331750000000184 46.91425629999999103, 15.48743520000000018 46.91543789999999348, 15.48835200000000079 46.91850399999999865, 15.49048570000000069 46.91924859999998887, 15.4934641000000024 46.92031209999998964, 15.49628040000000162 46.92124979999999823, 15.49905140000000081 46.92222710000000063, 15.49948449999999944 46.92453450000000714, 15.4999450999999997 46.92698810000000265, 15.50046490000000254 46.92975650000001053, 15.50102829999999976 46.93269519999999062, 15.501343600000002 46.93433979999998229, 15.50161060000000113 46.93573229999999796, 15.50221220000000066 46.93886969999999792, 15.5027342000000008 46.94170919999999114, 15.50576930000000253 46.94253400000000198, 15.50883909999999943 46.94337419999999383, 15.51249149999999943 46.94437249999998585, 15.51476500000000058 46.94500579999999701, 15.51719449999999867 46.94567159999999717, 15.52273779999999803 46.94703239999999766, 15.52512740000000235 46.94962350000000129, 15.5274195000000006 46.95210869999998948, 15.52940139999999936 46.95426140000001425, 15.53096530000000008 46.9559773000000078, 15.5350602999999996 46.95708450000000056, 15.53884990000000066 46.95811290000000326, 15.54261589999999948 46.95913329999999064, 15.54460070000000016 46.96182290000000137, 15.54690459999999952 46.96495490000000927, 15.55022370000000187 46.96592759999999345, 15.55380720000000139 46.96697509999999909, 15.55780910000000006 46.96815169999999284, 15.5591469 46.97035229999999473, 15.56074850000000076 46.97302169999998966, 15.56205639999999946 46.97515009999999336, 15.56492979999999982 46.97624410000000239, 15.56774189999999969 46.97730689999999498, 15.57072370000000205 46.9784347000000011, 15.57360459999999946 46.97953600000000307, 15.57609169999999921 46.98047379999999151, 15.57836409999999994 46.98217410000000172, 15.58101510000000189 46.98416350000000818, 15.58361840000000065 46.98611330000001374, 15.58568400000000231 46.98765780000000092, 15.58779290000000017 46.98923709999999687, 15.5892204999999997 46.99156469999999075, 15.59073809999999938 46.99399519999999342, 15.593611000000001 46.99448269999998473, 15.59680280000000252 46.99500859999999847, 15.60089250000000227 46.99568330000000316, 15.6052098000000008 46.99639609999999834, 15.60951930000000232 46.99709710000000484, 15.6115536999999982 46.99964940000000269, 15.61297129999999989 47.00144639999999896, 15.61501239999999946 47.00405459999998214, 15.61630309999999966 47.00565889999999314, 15.61798849999999916 47.00702520000000106, 15.62034430000000107 47.00897179999999764, 15.62354509999999941 47.01159279999999541, 15.62233100000000086 47.01600059999999814, 15.62390059999999892 47.01797809999999345, 15.62630700000000061 47.02099629999999308, 15.62868590000000069 47.02394589999999397, 15.63146949999999968 47.02656169999999491, 15.63413649999999855 47.02908130000000142, 15.63824669999999983 47.02888449999998954, 15.64193580000000061 47.02870730000000066, 15.64462750000000035 47.02723809999999105, 15.64679740000000052 47.02605679999999211, 15.64904149999999738 47.02483149999999767, 15.65150080000000088 47.02452329999999847, 15.65462740000000075 47.02412440000000515, 15.6588887000000021 47.02496080000000234, 15.66089009999999782 47.02642289999999292, 15.66421610000000086 47.02887650000000264, 15.66846840000000007 47.03199310000000111, 15.67244980000000254 47.03494340000000307, 15.67676030000000154 47.03420489999999887, 15.68014000000000152 47.03362489999999241, 15.68425490000000266 47.03293120000000727, 15.68837030000000254 47.0322380999999865, 15.6923376999999995 47.0315641000000042, 15.69629989999999964 47.03089320000000839, 15.70039590000000018 47.03020059999999347, 15.70316980000000129 47.02973310000000851, 15.70608039999999939 47.02924359999999382, 15.71041600000000038 47.03016199999999003, 15.71465710000000193 47.03105779999999925, 15.71868959999999937 47.03190620000000166, 15.722672600000001 47.03274079999999913, 15.72617649999999934 47.03255800000000164, 15.72958329999999982 47.03238540000000256, 15.73335200000000178 47.03218269999999279, 15.73440109999999947 47.03212519999999586, 15.73595169999999932 47.0320401999999973, 15.73876710000000223 47.03189659999999606, 15.7415274000000025 47.03174400000001043, 15.74487060000000049 47.03157039999998545, 15.74842310000000012 47.03306489999999229, 15.75119139999999973 47.03422120000000461, 15.75356159999999939 47.03522759999999892);103401937;2.0;"Kainachtal - Oststeiermark;Kainachtal - Südburgenland";380000;3;475;Austrian Power Grid AG;28736,14;;;;;;;;;;;
LineString (15.75356159999999939 47.03522759999999892, 15.75363160000000029 47.0377488000000028, 15.75368949999999835 47.04000550000000658, 15.75375820000000182 47.04247310000000226, 15.7538347000000023 47.04512139999999221, 15.75246120000000083 47.04776480000000305, 15.75110530000000253 47.05040259999998398, 15.74982830000000078 47.05288240000000144, 15.74856630000000024 47.05532200000000387, 15.74727410000000205 47.05782460000001066, 15.74701160000000044 47.06066129999999958, 15.74672030000000156 47.06368459999999487, 15.74645489999999803 47.06649849999999446, 15.74618040000000185 47.06932740000000592, 15.74412530000000032 47.0717526000000035, 15.74228190000000005 47.07394959999999884, 15.74044450000000239 47.07611819999999625, 15.73881919999999823 47.07804270000000457, 15.73643230000000237 47.08028480000000826, 15.73379710000000031 47.08276239999999291, 15.73118950000000105 47.08520870000000258, 15.72864339999999927 47.0876000000000019, 15.72608560000000111 47.08998500000000575);103404265;3;"Kainachtal - Oststeiermark;Wünschendorf - Feldbach";380000;3;475;Austrian Power Grid AG;13275,86;;;;;;;;;;;
LineString (15.72608560000000111 47.08998500000000575, 15.72609229999999947 47.09084789999999288);103404264;1.0;;380000;3;475;Austrian Power Grid AG;95,9;;;;;;;;;;;
LineString (15.42534120000000009 46.90165429999999702, 15.4296521000000002 46.90106199999999603, 15.4339423 46.90047259999999341, 15.44177140000000037 46.89939209999999292, 15.44571909999999981 46.8988472999999928, 15.44930700000000101 46.8998936999999998, 15.45343040000000023 46.901093699999997, 15.45749720000000238 46.90227540000000772, 15.46143039999999935 46.90341819999999018, 15.46415769999999945 46.90422530000000734, 15.46748580000000217 46.90518139999999647, 15.46898750000000256 46.90825759999999178, 15.47002680000000119 46.91036789999999712, 15.47301199999999888 46.91123950000000775, 15.47595169999999953 46.91210319999999712, 15.47975349999999928 46.91321439999999399, 15.48331750000000184 46.91425629999999103);103401934;3;"Kainachtal - Oststeiermark;Kainachtal - Südburgenland;Werndorf - Zwaring";380000;3;475;Austrian Power Grid AG;10185,52;;;;;;;;;;;
LineString (15.42407150000000016 46.90214339999999993, 15.42534120000000009 46.90165429999999702);103397123;1.0;;380000;3;475;Verbund Austrian Power Grid AG;110,93;;;;;;;;;;;
LineString (15.99000610000000044 47.25702410000000242, 15.99235979999999913 47.25963220000000575, 15.9946377999999978 47.26212890000000044, 15.99644509999999897 47.26411819999999864, 15.99825230000000076 47.26610030000000506, 16.00028079999999875 47.26832909999999544, 16.00235950000000074 47.27060440000000341, 16.00389039999999952 47.27228720000000806, 16.00762160000000023 47.27224809999999167, 16.01156190000000024 47.27221600000000024, 16.01589549999999917 47.27217999999998455, 16.01982599999999834 47.2721469999999897, 16.02353019999999972 47.27211410000000313, 16.0276740999999987 47.27208209999999866, 16.03140550000000175 47.27204909999998961, 16.03513309999999947 47.27201610000000898, 16.03904599999999903 47.27198620000000062, 16.04263399999999962 47.27195489999999722, 16.04603170000000034 47.27300610000000347, 16.04961259999999967 47.27411390000000324, 16.05323399999999978 47.27523429999999394, 16.05707519999999988 47.27642260000000363, 16.06068399999999841 47.27753899999999732, 16.06414300000000139 47.2786090000000101, 16.06790379999999985 47.27977239999999171, 16.0713790000000003 47.27948630000000207, 16.07566470000000081 47.27913349999999326, 16.07979900000000129 47.27879310000000146, 16.08375549999999876 47.2784673999999967, 16.08780120000000124 47.27813619999999872, 16.09181750000000122 47.27717470000001043, 16.09552460000000096 47.27630409999999728, 16.09856720000000152 47.27558029999998723, 16.10157299999999836 47.27486050000000262, 16.10481419999999986 47.27409389999998979, 16.10858419999999924 47.27367120000000256, 16.11250719999999959 47.27325399999999433, 16.11670900000000017 47.27275699999999148, 16.12063290000000038 47.27232300000000009, 16.12443130000000124 47.27169639999999617, 16.12871290000000002 47.27099009999999168, 16.13225920000000002 47.27038809999999103, 16.13621729999999843 47.26975399999999894, 16.13999839999999963 47.26912459999999783, 16.14384629999999987 47.26848399999999373, 16.14752430000000061 47.2678716999999935, 16.15126749999999944 47.26724859999999495, 16.1551341000000015 47.26660699999999338, 16.15884009999999904 47.26792809999999179, 16.16261989999999926 47.26928010000001024, 16.16664970000000068 47.27073430000000087);99761296;2.0;;380000;3;476;Austrian Power Grid AG;14788,16;;;;;;;;;;;
LineString (15.42115479999999827 46.90221049999999536, 15.4221894000000006 46.90295359999999647);295737642;1.0;Obersielach - Kainachtal;380000;2;471;Austrian Power Grid AG;114,14;;;;;;;;;;;
LineString (15.42285479999999964 46.90160660000000092, 15.42363530000000083 46.90237390000000062);295737641;1.0;Kainachtal - Maribor;380000;2;473;Austrian Power Grid AG;103,94;;;;;;;;;;;
