wkt_geom;osm_id;cables;name;voltage;wires;ref;operator;length
LineString (16.37417719999999832 47.98357440000000196, 16.37402660000000054 47.98640770000000799, 16.37387980000000098 47.98925010000000668, 16.37370310000000018 47.99247849999999005, 16.3735356000000003 47.99553350000000052, 16.37336009999999931 47.99904569999999637, 16.37547059999999988 48.00165339999999503, 16.37786570000000097 48.00448019999999616, 16.37976240000000061 48.00693239999998951, 16.38197470000000067 48.00965890000001224, 16.38419770000000142 48.01240729999999957, 16.38499440000000007 48.01447600000000193, 16.38595079999999982 48.01692129999999992, 16.38699950000000172 48.01962040000000798, 16.38816140000000132 48.02263889999999691, 16.38926289999999852 48.02551890000000157, 16.39029010000000142 48.02822059999999738, 16.39142089999999996 48.03106350000000901, 16.39253109999999936 48.03404709999998801, 16.39369230000000144 48.03695630000000705, 16.39475470000000001 48.03967099999999135, 16.39590159999999841 48.04255280000000283, 16.3970860000000016 48.04539899999999619, 16.39811600000000524 48.04819339999999528, 16.39914599999999822 48.05088439999999395, 16.40029609999999849 48.0538047000000077, 16.4013604000000015 48.05654700000000901, 16.40233890000000017 48.059019499999998, 16.40342890000000153 48.06194510000000264, 16.40457909999999941 48.06493939999999299, 16.40582360000000151 48.06803669999998618, 16.40690509999999946 48.07089869999998655, 16.40802090000000035 48.07380069999999961, 16.40911090000000172 48.07660500000000781, 16.41001209999999944 48.07878989999999675, 16.41093910000000022 48.08128430000000009, 16.41211320000000029 48.08448669999999225, 16.41046820000000039 48.08713419999999417, 16.40856510000000057 48.09020249999999663, 16.40683160000000029 48.0930614000000034, 16.40864380000000011 48.09590670000000046, 16.41030549999999977 48.09846139999998371, 16.4118384000000006 48.10082520000000272, 16.41362800000000277 48.10358639999999752, 16.41561439999999905 48.10665209999999092, 16.41551270000000073 48.10984439999999296, 16.41541690000000031 48.11331779999999725, 16.41533520000000124 48.1164896000000013, 16.41519489999999948 48.1202091999999837, 16.41697299999999871 48.12262249999998431);122658968;4;;380000;3;477;Austrian Power Grid AG;32348,92
LineString (15.69313780000000236 48.22716729999999075, 15.69664660000000111 48.22917220000000071, 15.69970110000000219 48.2309161999999958, 15.70262430000000009 48.23255919999999719, 15.70582480000000025 48.23488480000000322, 15.70843149999999966 48.23670559999999341, 15.71103569999999827 48.23856589999999045, 15.71382829999999942 48.24056079999999724, 15.71697970000000133 48.24277679999999435, 15.72000790000000059 48.2449419000000006, 15.72292540000000116 48.24703019999998332, 15.72578580000000059 48.24905619999999828, 15.72870750000000228 48.25115000000000265, 15.73158650000000236 48.25319009999999764, 15.73438270000000117 48.25520140000001135);119427097;4;;380000;3;465A;EVN;8747,56
LineString (15.70751789999999914 48.39268189999999237, 15.71121780000000179 48.39245979999999747, 15.71549510000000183 48.39220119999998815, 15.72045989999999982 48.39190489999999301, 15.72341230000000145 48.38937639999999618, 15.72630069999999947 48.38690249999999082, 15.72552570000000216 48.38429959999999141, 15.72441040000000179 48.38055370000000721, 15.72374199999999789 48.37830859999998268, 15.7230646000000025 48.37603290000000555, 15.72540570000000137 48.37302360000000334, 15.72739279999999873 48.37031530000000146, 15.7294925999999986 48.36750459999999663, 15.72850779999999915 48.36578349999998494, 15.72682509999999922 48.36282639999999589, 15.7251499999999993 48.35988849999998251, 15.72347330000000021 48.35694760000000514, 15.72174090000000213 48.3539088999999862, 15.72030969999999961 48.35139819999999133, 15.71898679999999793 48.34907749999999282, 15.71763999999999939 48.34671479999999377, 15.71613390000000088 48.34407240000000172, 15.71446130000000174 48.34113789999997834, 15.71270789999999984 48.33806120000000561, 15.71107029999999938 48.33518759999999759, 15.70941359999999953 48.3322509999999923);59529673;4;"Etzersdorf - Theiß;Pottenbrunn - Theiß";380000;3;468A;EVN;16301,17
LineString (16.42057519999999826 48.33711559999999707, 16.41822489999999846 48.33952269999998919, 16.4159398000000003 48.34189059999999927, 16.41381180000000128 48.34405979999999659, 16.40901020000000088 48.34561740000000896, 16.40569400000000044 48.34656269999999267, 16.40156509999999912 48.34773969999999821, 16.39778719999999979 48.34881659999999215, 16.39354200000000006 48.35002659999999963, 16.38979580000000169 48.35109440000000092, 16.38566660000000041 48.35227140000000645, 16.38177689999999842 48.35337999999999425);106778380;4;"Bisamberg - Wien Nord 2;Bisamberg - Gerasdorf";380000;3;510;Wien Energie GmbH;7021,84
LineString (14.47302359999999943 48.12223889999999216, 14.4729990000000015 48.12297129999999612);235548031;1.0;;380000;2;;Austrian Power Grid AG;81,43
LineString (14.47302359999999943 48.12223889999999216, 14.47379620000000244 48.12280430000000564);235548030;1.0;;380000;2;;Austrian Power Grid AG;85,18
LineString (14.47302359999999943 48.12223889999999216, 14.4734556000000012 48.12281330000000423);235548032;1.0;;380000;2;;Austrian Power Grid AG;71,48
LineString (15.70493510000000192 48.392979799999992, 15.70374540000000074 48.39341060000000994);199898193;1.0;;380000;3;468B;EVN;100,25
LineString (15.70493510000000192 48.392979799999992, 15.70492439999999945 48.39335429999998439);199898192;1.0;;380000;3;468A;EVN;41,64
LineString (16.38177689999999842 48.35337999999999425, 16.38146809999999931 48.35676299999999372, 16.37864749999999958 48.35867480000000285);58898738;2.0;Bisamberg - Wien Nord;380000;3;510;Wien Energie GmbH;674,83
