WKT;full_id;osm_id;osm_type;generator_;generato_1;generato_2;generato_3;power;ref;generato_4;barrier;name;ele;plant_sour;access;constructi;height;operator;entrance;waterway;proposed;plant_meth;plant_outp;disused;man_made;location_t;marker;mount;pipeline_r;position;substance;utility;start_date;website;wikidata;maxheight;maxwidth;construc_1;height_hub;manufactur;manufact_1;rotor_diam;amenity;hiking;informatio;map_size;map_type;tourism;frequency;voltage;camera_ang;camera_dir;camera_mou;camera_typ;operator_t;surveillan;surveill_1;surveill_2
POINT (16.8961387 47.9629412);n2032801300;2032801300;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;ND13;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.886592 47.9648729);n2032801303;2032801303;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;ND12;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.8837683 47.9653962);n2032801306;2032801306;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;ND5;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9006511 47.9362);n2032817579;2032817579;node;;Enercon E-66/18.70;1.8 MW;wind;generator;WE26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.8962843 47.938621);n2032817580;2032817580;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;WE25;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9035708 47.9387479);n2032817584;2032817584;node;;Enercon E-66/18.70;1.8 MW;wind;generator;WE24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9048042 47.94155);n2032817587;2032817587;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;WE22;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9120693 47.9463837);n2032817591;2032817591;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;WE19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.901502 47.9492215);n2032817594;2032817594;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;WE7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9158062 47.949716);n2032817595;2032817595;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;WE17;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9136097 47.9543463);n2032817596;2032817596;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;WE15;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9098391 47.9577519);n2121255963;2121255963;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;WE2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9046121 48.0166373);n2121782374;2121782374;node;wind_turbine;Dewind D8;2.0 MW;wind;generator;NE2;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.8972907 48.0247528);n2121782379;2121782379;node;wind_turbine;Dewind D8;2.0 MW;wind;generator;NE14;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.8987311 48.0298607);n2121782381;2121782381;node;wind_turbine;Vestas V 80;2.0 MW;wind;generator;NE20;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0425089 47.7918786);n2123478194;2123478194;node;wind_turbine;;3 MW;wind;generator;W-07265-037;;;;119,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0488625 47.794884);n2123478195;2123478195;node;wind_turbine;;3 MW;wind;generator;W-07265-036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0377522 47.795938);n2123478196;2123478196;node;wind_turbine;;3 MW;wind;generator;W-07265-035;;;;118,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.043248 47.798205);n2123478197;2123478197;node;wind_turbine;;3 MW;wind;generator;W-07265-034;;;;119,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.051745 47.799137);n2123478198;2123478198;node;wind_turbine;;3 MW;wind;generator;W-07265-033;;;;118,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0344477 47.8004359);n2123478199;2123478199;node;wind_turbine;;3 MW;wind;generator;W-07265-024;horizontal_axis;;;121,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0397411 47.8019728);n2123478200;2123478200;node;wind_turbine;;3 MW;wind;generator;W-07265-025;horizontal_axis;;;121,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.046971 47.802875);n2123478201;2123478201;node;wind_turbine;;3 MW;wind;generator;W-07265-026;horizontal_axis;;;119,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
