full_id;osm_id;osm_type;barrier;landuse;name;power;substation;voltage;frequency;location;operator;building;building:colour;roof:colour;roof:shape;addr:city;addr:country;addr:postcode;ref;addr:housenumber;addr:street;building:levels;man_made;roof:orientation;fence_type;fence_type:de;transformer;addr:place;at_bev:addr_date;building:material;height;roof:material;roof:height;start_date;name:abbreviation;fenced;rating;street_cabinet;plant:method;plant:output:electricity;plant:source;waterway;wikidata;wikipedia;website;plant:output:cold_water;generator:type;plant:output;generator:count
151010933;way;;;Umspannwerk Schwaz;substation;distribution;110000;50;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;;;;;;;;;
100409307;way;;;Umspannwerk Sölden;substation;distribution;110000;50;outdoor;TIWAG;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;;;;;;;;;
94505943;way;;;Umspannwerk St. Johann;substation;distribution;110000;50;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;
42352281;way;;industrial;Umspannwerk Steinach;substation;distribution;110000;50;outdoor;TIWAG-Netz AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24768685;way;;;Umspannwerk Thaur;substation;transmission;"220000;110000";50;outdoor;TIWAG-Netz AG;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
145583866;way;wall;;Umspannwerk Vill;substation;distribution;"110000; 220000";50;outdoor;TIWAG;;;;;;;;;;;;;;;;;;;;;;;;42;;;;;;;;;;;;;;;
194948145;way;fence;;Umspannwerk Vögelebichl;substation;distribution;not specified;50;indoor;;;;;;;;;;;;;;;;;;;;;;;;;52;;;;;;;;;;;;;;;
106098365;way;;;Umspannwerk Völs;substation;distribution;110000;50;outdoor;TIWAG;;;;;;;;;;;;;;;;;;;;;;;;34;;;;;;;;;;;;;;;
32674497;way;;;Umspannwerk Wilten;substation;distribution;110000;50;outdoor;TIWAG;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;
156973414;way;fence;;Umspannwerk Zell am Ziller;substation;transmission;"380000;220000;110000";50;outdoor;Austrian Power Grid AG;;;;;;;;;;;;;;;;;;;;;;;;46;;;;;;;;;;;;;;;
147563007;way;;;Umspannwerk Zirl;substation;distribution;110000;50;outdoor;TIWAG;;;;;;;;;;;;;;;;;;;;;;;;43;;;;;;;;;;;;;;;
85699520;way;;;UW Gruben;substation;transmission;110000;50;outdoor;TIWAG;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;
85699549;way;;industrial;UW Kienburg;substation;transmission;110000;50;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105080874;way;fence;;UW Kraftwerk Kirchbichl (i.B.);substation;transmission;110000;50;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;;;;;
132550284;way;fence;;UW Mayrhofen-Kumbichl (i.B.);substation;transition;220000;;;;;;;;;;;;;;;;;;;;;;;;;;;39;;;;;;;;;;;;;;;
52954814;way;fence;;UW Sillian;substation;distribution;110000;50;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;
95812231;way;;;UW Silz (i.B.);substation;transmission;"220000;110000";;;TIWAG-Netz AG;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;
580543598;way;;;UW Tobadill;substation;;"110000;25000";;;TiNetz;industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
