full_id;osm_id;osm_type;frequency;landuse;location;substation;name;operator;power;voltage;addr:city;addr:country;addr:housename;addr:housenumber;addr:postcode;addr:street;building;int_name;old_name;building:levels;barrier;height;ref;roof:shape;man_made;street_cabinet;building:material;roof:levels;roof:material;emergency;building:colour;at_bev:addr_date;source:location;addr:place;transformer;railway:position:exact;gas_insulated;building:part;material;phone;fence_type;name:old;rating;start_date;description;local_wiki;plant:output:electricity;plant:source;wikidata;plant:method;generator:type;wikipedia;plant:output:heat;official_name;addr:hamlet;plant:output:hot_water;alt_name
89985993;way;50;;outdoor;Umspannwerk Pyhrn;110000, 220000;Verbund Austrian Power Grid AG;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;
497665559;way;50;;;Umspannwerk Rainbach im Mühlkreis;"110000;30000";Linz AG;substation;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;139;;;;;40 MVA;2016;;;;;;;;;;;;;
81216242;way;50;;outdoor;Umspannwerk Ried;110000;;substation;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;
97870174;way;;;;Umspannwerk Riedersbach;110000;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;;;;;;;;;;;;;;;;
122351223;way;50;;outdoor;Umspannwerk Roßbach;110000;;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;;;;;;;;;;;;;;;;;;;
81540198;way;;;;Umspannwerk St. Peter;"380000;220000";Austrian Power Grid AG;substation;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;
107117959;way;50;;outdoor;Umspannwerk Steinkogl;110000;Energie AG;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;;;;;;;;;;;;;;;;;;;
32809456;way;50;;outdoor;Umspannwerk Steyrermühl;110000;;substation;industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;
33066588;way;50;;outdoor;Umspannwerk Steyr-Fischhub;110000;;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;
33066376;way;50;;outdoor;Umspannwerk Steyr-Nord;110000;Energie AG;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;
94159103;way;50;;outdoor;Umspannwerk Steyr-Ost;110000;Energie AG Oberösterreich;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;;;;;
95640323;way;50;;outdoor;Umspannwerk Strobl;110000;Energie AG;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;;;;;;;;;;;;;;;;;;;
33840061;way;50;;outdoor;Umspannwerk Timelkam;110000;;substation;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;
34258314;way;50;;outdoor;Umspannwerk Traunfall;110000;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;
33064531;way;50;;outdoor;Umspannwerk Tyllisburg;110000;;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;
95297285;way;50;;outdoor;Umspannwerk Unterach;110000;Energie AG;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;
93187006;way;50;industrial;outdoor;Umspannwerk Vöcklabruck;110000;;substation;distribution;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124415043;way;50;;outdoor;Umspannwerk Vorchdorf;110000;Energie AG;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64;;;;;;;;;;;;;;;;;;;
185860195;way;50;;outdoor;Umspannwerk Wagenham;110000;Energie AG;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;;;;;;;;;;;;;;;;;;;
95837658;way;50;;outdoor;Umspannwerk Wallsee;"110000; 380000;220000";Austrian Power Grid AG;substation;transmission;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;43;;;chain_link;;;;;;;;;;;;;;;;
128132750;way;;;outdoor;Umspannwerk Wattstraße;110000;Linz AG;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;;;;;;;;;;;;;;;;;;;
102572506;way;50;industrial;outdoor;Umspannwerk Wegscheid;110000;Linz AG;substation;transmission;;;;;;;;;;;fixme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92873353;way;50;;outdoor;UW Aschach (i.B.);220000;Verbund Austrian Power Grid AG;substation;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;;;;;;;;;;;;;
259327225;way;50;;outdoor;UW Garsten Süd 2 (i.B.);110000;;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;;;;;;;;;;;;;;;;;;;
29563097;way;50;;indoor;UW Hütte Süd 110kV;110000;voestalpine Stahl GmbH;substation;transmission;Linz;AT;Stat.099;72;4030;Lunzerstraße;industrial;Transformer Station 110kV;Umpannwerk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
365493403;way;50;;outdoor;UW Kraftwerk Passau (i.B.);110000;;substation;transition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;113;;;;;;;;;;;;;;;;;;;
87526678;way;50;;outdoor;UW Marchtrenk - Süd (i.B.);110000;;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;
98308316;way;50;;outdoor;UW Rohrbach-Berg Süd (i.B.);110000;;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;;;;;;;;;;;;;;;;;;;
33058565;way;50;;outdoor;UW Traun Süd (i.B.);110000;Energie AG Oberösterreich;substation;transmission;;;;;;;;;;;fence;2;;;;;;;;;;;;;;;;;4;metal;;;;;;;;;;;;;;;;;;
