full_id;osm_id;osm_type;it:fvg:ctrn:revision;landuse;substation;location;addr:city;addr:country;addr:housenumber;addr:place;addr:postcode;at_bev:addr_date;name;power;operator;plant:output:hot_water;start_date;plant:output:electricity;plant:source;website;wikipedia;building;height;it:fvg:ctrn:code;addr:street;frequency;voltage;barrier;ref;source:addr;transformer;building:levels;addr:suburb;gas_insulated;layer;alt_name;description:de;building:part
84880037;way;;substation;Umspannwerk St. Veit an der Glan;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;;;;;;;;;13;;;
85489961;way;;substation;Umspannwerk Steinfeld;110000;;;;;;;;;;distribution;;;;;;;;;;50;outdoor;fence;;;;;;;;21;;;
97348720;way;;substation;Umspannwerk Treibach;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;fence;;;;;;;;41;;;
83896165;way;;substation;Umspannwerk Tröpolach;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;;;;;;;;;8;;;
603139216;way;;substation;Umspannwerk Villach Süd;"220000;110000";Austrian Power Grid AG;;;;;;;;;transmission;;;;;;;;;;50;outdoor;;construction;;;;;;;;;;
86258560;way;;substation;Umspannwerk Völkermarkt;110000;KNG-Kärnten Netz GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;;;
85586885;way;;substation;Umspannwerk Vorderberg;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;fence;;;;;;;;23;;;
98245350;way;;substation;Umspannwerk Warmbad;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;;;;;;;;;42;;;
151942484;way;;substation;Umspannwerk Wietersdorf;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;fence;;;;;;;;49;;;
85405514;way;;substation;Umspannwerk Windischbach;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;fence;;;;;;;;18;;;
85586883;way;;substation;Umspannwerk Würmlach;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;fence;;;;;;;;22;;;
123098511;way;;substation;UW Kraftwerk Innerfragant (ib);110000;;;;;;;;;;transmission;;;;;;;;;;50;outdoor;;;;;;;;;44;;;
590581731;way;;substation;UW Lieserbrücke;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;;industrial;;;;;;;;;;
742484357;way;;substation;UW Sankt Leonhard;110000;;;;;;;;;;distribution;;;;;;;;;;50;outdoor;;;;;;;;;74;;;
85391848;way;;substation;UW Velden am Wörther See Ost (ib);110000;Kelag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;
88381528;way;;substation;UW Wolfsberg;110000;;;;;;;;;;distribution;;;;;;;;;;50;outdoor;;;;;;;;;38;;;
