full_id;osm_id;osm_type;barrier;location;substation;access;name;plant:source;power;addr:city;addr:country;addr:housenumber;addr:place;addr:postcode;operator;contact:fax;contact:phone;contact:website;frequency;generator:method;generator:output:electricity;generator:output:hot_water;generator:source;email;phone;website;plant:method;plant:output:electricity;wikidata;wikipedia;plant:output:hot_water;landuse;voltage;building;name:abbreviation;addr:street;addr:suburb;ref;description:de;substance;building:levels;height;building:material;roof:material;source:geometry;roof:shape;service;start_date;transformer;voltage:secondary;commissioning;gas_insulated;rating;designation;alt_name;at_bev:addr_date;roof:levels;street_cabinet;man_made
83643796;way;fence;50;Umspannwerk Deutsch-Altenburg;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;DEU;;;;;;;;;;;;;;;;26;;;;;;;;;
59531071;way;fence;;Umspannwerk Dürnrohr;"380000;220000;110000";"EVN;Verbund Austrian Power Grid AG";substation;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;;;;20;;;;;;;;;
122592181;way;fence;;Umspannwerk Dürnrohr;380000;Verbund;substation;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;;;;83;;;;;;;;;
95094291;way;;50;Umspannwerk Ebenfurth;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;45;;;;;;;;;
122669259;way;;50;Umspannwerk Ebreichsdorf;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;84;;;;;;;;;
96998954;way;;50;Umspannwerk Edlitz;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;63;;;;;;;;;
95211290;way;;50;Umspannwerk Eggenburg;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;48;;;;;;;;;
28504203;way;;50;Umspannwerk Eibesbrunn;110000;;substation;;distribution;;;;;;;;;;industrial;;;;;;;;;;;;;outdoor;;EIB;;;;;;;;;;;;;;;;;;;;;;;;;
28968803;way;;;Umspannwerk Enzersdorf;;;substation;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;
69859724;way;fence;50;Umspannwerk Enzesfeld;110000;Wien Energie;substation;;distribution;;13;;;Hirtenbergerstraße;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;21;;;;;;;;;
122763233;way;;50;Umspannwerk Erlaufboden;110000;EVN;substation;;transmission;;;;;;;;;;;;;;;;;;;;;;;outdoor;;EBO;;;;;;;;;;;;;;;;85;;;;;;;;;
27763479;way;;;Umspannwerk Ernsthofen;"380000;220000;110000";Austrian Power Grid AG;substation;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1941-09-30;;;;;;;;
96346322;way;;50;Umspannwerk Gänserndorf;110000;EVN;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;GAN;;;;;;;;;;;;;;;;54;;;;;;;;;
478850561;way;;;Umspannwerk Gaweinstal;;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;183;;;;;;;;;
35953425;way;;50;Umspannwerk Gerasdorf;110000;Wien Energie GmbH;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;indoor;;;;;;;;;;;;;;;;;;15;;;;;;;;;
96855956;way;;50;Umspannwerk Gerstl;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;GER;;;;;;;;;;;;;;;;61;;;;;;;;;
118938988;way;fence;50;Umspannwerk Gmünd;110000;EVN;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;81;;;;;;;;;
33631653;way;;50;Umspannwerk Greifenstein;220000;;substation;;transmission;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;12;;;;;;;;;
91067944;way;;;Umspannwerk Gresten;;Wien Energie GmbH;substation;;;;20;;;Wieselburger Straße;;;;;;;;;;;;;;;;;;;;GRE;;;;;;;;;;;;;;;;42;;;;;;;;;
97379897;way;;50;Umspannwerk Groß-Gerungs;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;66;;;;;;;;;
98635107;way;;50;Umspannwerk Grubberg;110000;EVN;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;indoor;;GRU;;;;;;;;;;;;;;;;71;;;;;;;;;
91117108;way;;50;Umspannwerk Hainfeld;110000;EVN;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;43;;;;;;;;;
96989592;way;;50;Umspannwerk Hart;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;62;;;;;;;;;
478863889;way;;;Umspannwerk Hauskirchen;;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;184;;;;;;;;;
136384211;way;fence;;Umspannwerk Höflein;;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101;;;;;;;;;
731102287;way;fence;;Umspannwerk Höflein;;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220;;;;;;;;;
99761298;way;;50;Umspannwerk Hohe Wand;110000;;substation;;transmission;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;72;;;;;;;;;
83947318;way;;50;Umspannwerk Hollabrunn;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;28;;;;;;;;;
88180087;way;;;Umspannwerk Horn;;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;
96620298;way;;50;Umspannwerk Kettlasbrunn;110000;;substation;;;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;59;;;;;;;;;
96193588;way;;50;Umspannwerk Laa an der Thaya;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;53;;;;;;;;;
329923256;way;;;Umspannwerk Lassee;;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165;;;;;;;;;
128734659;way;;50;Umspannwerk Mistelbach;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;MIS;;;;;;;;;;;;;;;;97;;;;;;;;;
25539735;way;;50;Umspannwerk Moosbrunn;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;MOS;;;;;;;;;;;;;;;;3;;;;;;;;;
257384535;way;fence;50;Umspannwerk Neuhaus;110000;EVN;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;153;;;;;;;;;
42330333;way;;50;Umspannwerk Neulengbach;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;NEL;;;;;;;;;;;;;;;;16;;;;;;;;;
96616299;way;;50;Umspannwerk Neusiedl an der Zaya;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;NEU;;;;;;;;;;;;;;;;58;;;;;;;;;
324055876;way;;;Umspannwerk Peigarten;;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;;;;;;;;;
122857785;way;fence;;Umspannwerk Petronell;;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;;;;;;;;;
99761299;way;;50;Umspannwerk Pitten;110000;EVN;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;73;;;;;;;;;
27797285;way;;;Umspannwerk Pottenbrunn;"380000;110000";EVN;substation;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;POT;;;;;;;;;;;;;;;;5;;;;;;;;;
