full_id;osm_id;osm_type;building;frequency;location;name;operator;power;substation;type;voltage;wikidata;wikipedia;addr:city;addr:country;addr:housenumber;addr:postcode;addr:street;start_date;street_cabinet;at_bev:addr_date;designation;image;abandoned:power;building:levels;Wien;barrier;alt_name;ref;man_made;fence_type;official_name;landuse;plant:method;plant:output:electricity;plant:output:hot_water;plant:source;website;generator:method;generator:output:electricity;generator:output:hot_water;generator:source
295621196;way;;;;UW Mauerbachstraße 2 (ib);;substation;;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;;;;;;
236042644;way;yes;;;UW Mühlbergstraße (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
355241104;way;yes;;;UW Neu Erlaa (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
355246665;way;yes;;;UW Neu Erlaa 2 (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
463775281;way;yes;;;UW Neu Erlaa 3 (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418591918;way;yes;;;UW Ober St Veit (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148715919;way;yes;;;UW Ostbahn (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
327486070;way;yes;;;UW Seitenhafenstraße (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84904924;way;yes;;;UW Siedlung Tamariskengasse (ib);Wien Energie;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32011299;way;yes;;;UW Stammersdorf Mitte (ib);;substation;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295617716;way;;;;UW Weidlingau (ib);;substation;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;
304350598;way;;;;UW Weidlingau 2 (ib);;substation;;;;;;;;;;;;;;;;;;;43;;;;;;;;;;;;;;;;
304350600;way;;;;UW Weidlingau 3 (ib);;substation;;;;;;;;;;;;;;;;;;;44;;;;;;;;;;;;;;;;
656668503;way;yes;;;UW Wien West 2 (ib);;substation;yes;;;;;;;;;;;;;;;;;Energie;;;;;;;;;;;;;;;;;
207716405;way;yes;;;UW Wien Wolf in der Au (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
495069964;way;yes;;;UW Wiesthalen (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296432470;way;yes;;;UW Wolfersberg (ib);Wienstrom;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296671223;way;yes;;;UW Wolfersberg 2 (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299174242;way;yes;;;UW Wolfersberg 3 (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299175305;way;yes;;;UW Wolfersberg 4 (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303020534;way;yes;;;UW Wolfersberg 5 (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33750614;way;;50;outdoor;UW Wulzendorf (ib);;substation;transition;;110000;;;;;;;;;;;;;;;;8;fence;;;;;;;;;;;;;;;
564825208;way;yes;;;UW Wulzendorf 10 (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211530596;way;yes;;;UW Wulzendorf 2 (ib);Wien Energie;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223623517;way;yes;;;UW Wulzendorf 3 (ib);Wien Energie;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
340056338;way;yes;;;UW Wulzendorf 4 (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
433282091;way;yes;;;UW Wulzendorf 5 (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
437097196;way;yes;;;UW Wulzendorf 6 (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
445534877;way;yes;;;UW Wulzendorf 7 (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
513004260;way;yes;;;UW Wulzendorf 8 (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
545596759;way;yes;;;UW Wulzendorf 9 (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185326001;way;yes;;;UW Wurzbachtalgasse (ib);Wien Strom;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237612516;way;yes;;;UW Zinnergasse (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
