WKT;fid;full_id;osm_id;osm_type;landuse;name;plant_meth;plant_outp;plant_sour;power;type;addr_city;addr_count;addr_house;addr_postc;addr_stree;addr_subur;operator;wikidata;wikipedia;alt_name;old_name;generator_;generato_1;start_date;height;website;building;name_de;name_sl;generato_2;layer;addr_place;at_bev_add;plant_ou_1;addr_hou_1;int_name;is_in;ref;ele;generato_3;man_made;waterway;natural;water;commission;heritage;heritage_o;name_etymo;name_ety_1;ref_at_bda;wikimedia_;building_m;roof_mater;at_bev_a_1;fid_2;id;name_2;osm_id_2;node_type;voltage_11;voltage_22;voltage_38;distance
MULTILINESTRING ((285655.55528821 5232548.884442,277357.301268601 5235535.27288646));13;w25442808;25442808;way;;;;;hydro;plant;;Krimml;AT;99;5743;;;;;;;;;;;;;yes;;;;;Oberkrimml;01.10.2017;;;;;;;;;;;;;;;;;;;;;;63;642;KW Funsingau;;4153;y;n;n;8819,270702
MULTILINESTRING ((608673.341262822 5339471.51826635,608816.236493887 5339547.81438193));14;w27757801;27757801;way;industrial;Kraftwerk Donaustadt;combustion;383 MW;gas;plant;;Wien;;22;1220;Primavesigasse;;Wien Energie;Q1158820;de:Kraftwerk Donaustadt;;;;;;;;;;;;;;;250 MW;;;;;;;;;;;;;;;;;;;;;543;772;KW Donaustadt;;9268;y;n;n;161,9880993
MULTILINESTRING ((460886.611936163 5331037.19877378,460835.2196086 5330424.27853217));15;w28537970;28537970;way;;Kraftwerk Mühlrading;run-of-the-river;25 MW;hydro;plant;;;;;;;;Ennskraftwerke AG;;;;;;;;;;yes;;;;1;;;;;;;;;;;;;;;;;;;;;;;;101;59;UW Ernsthofen;;4191;y;y;y;615,0710479
MULTILINESTRING ((352114.196499895 5345404.95211518,352196.63053155 5345281.06518325));16;w28599518;28599518;way;;Innkraftwerk Braunau-Simbach;run-of-the-river;100 MW;hydro;plant;;Braunau am Inn;AT;58;5282;Kraftwerkstraße;;Österreichisch-Bayerische Kraftwerke AG;Q17124137;;;;;;;;;yes;;;kaplan_turbine;;;;;;;;;;;;;;;;;;;;;;;;;20;45;KW Braunau;;4108;y;n;n;148,8063892
MULTILINESTRING ((471075.108224475 5362915.88604668,462979.182195989 5356406.05750623));17;w28682182;28682182;way;industrial;;combustion;;biomass;plant;;;;;;;;;;;;;;;2006-09;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;422;684;UW Friensdorf;;9142;y;n;n;10388,5459
MULTILINESTRING ((450989.636318573 5348118.16663931,450380.850911851 5348550.31915934));18;w29564681;29564681;way;industrial;voestalpine Kraftwerk;combustion;267 MW;gas;plant;;;;;;;;voestalpine Stahl GmbH;;;Kraftwerk Hütte Linz;;;gas;;;;industrial;;;;;;;;SG32;Power Plant voestalpine Linz;Linz,Oberösterreich,Österreich, Europe;SG32;;;;;;;;;;;;;;;;;118;691;UW Linz-Ost;;4208;y;n;n;746,5758314
MULTILINESTRING ((111004.407492431 5227307.47233829,114055.79654304 5225360.61848641));19;w30240653;30240653;way;industrial;Rodundwerk II;water-pumped-storage;295 MW;hydro;plant;;;AT;;6773;;;Vorarlberger Illwerke AG;Q14546796;de:Rodundwerk II;;;;;;;https://www.illwerke.at/inhalt/at/198.htm;yes;;;;;;;;;;;;645;;;;;;;;;;;;;;;;536;549;UW Tschagguns;;9260;y;n;n;3619,560064
MULTILINESTRING ((364883.560054073 5248371.45876598,364922.481530444 5248845.2203878));20;w30512216;30512216;way;;Kraftwerk Urreiting;run-of-the-river;17 MW;hydro;plant;;Sankt Johann im Pongau;AT;48;5600;Maschl;;Salzburg AG;;;;;;;;;;yes;;;;1;;;;;;;;;;;;;;;;;;;;;;;;177;9;UW Pongau;;4267;y;n;n;475,3577133
MULTILINESTRING ((410091.612075988 5309594.59741312,409279.106967656 5308504.66845618));21;w31007053;31007053;way;industrial;Kraftwerk Gmunden;run-of-the-river;12.2 MW;hydro;plant;;;;;;;;Energie AG;;;;;;;1968;;;industrial;;;kaplan_turbine;1;;;;;;;;;;;;;;;;;;;;;;;;411;23;UW Gmunden;;9131;y;n;n;1359,451979
MULTILINESTRING ((96319.4608414918 5241063.25204938,94440.3498209149 5243775.95923548));22;w31428153;31428153;way;;Walgaukraftwerk;water-storage;94 MW;hydro;plant;;Nenzing;AT;1;6710;Eichholz;;Vorarlberger Illwerke AG;Q2542250;de:Walgauwerk;;;;;;;;yes;;;francis_turbine;;;;;;;;;492;2;;;;;;;;;;;;;;;522;562;UW Frastanz;;9245;y;n;n;3299,975531
