WKT;fid;full_id;osm_id;osm_type;landuse;name;plant_meth;plant_outp;plant_sour;power;type;addr_city;addr_count;addr_house;addr_postc;addr_stree;addr_subur;operator;wikidata;wikipedia;alt_name;old_name;generator_;generato_1;start_date;height;website;building;name_de;name_sl;generato_2;layer;addr_place;at_bev_add;plant_ou_1;addr_hou_1;int_name;is_in;ref;ele;generato_3;man_made;waterway;natural;water;commission;heritage;heritage_o;name_etymo;name_ety_1;ref_at_bda;wikimedia_;building_m;roof_mater;at_bev_a_1;fid_2;id;name_2;osm_id_2;node_type;voltage_11;voltage_22;voltage_38;distance
MULTILINESTRING ((105327.923216806 5241118.42868976,99552.542313919 5239987.88029691));176;w206452806;206452806;way;;Kraftwerk Oberstufe Lutz;water-storage;19.3 MW;hydro;plant;;;;;;;;Vorarlberger Kraftwerke AG;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;532;557;UW Nenzing;;9255;y;n;n;5884,994838
MULTILINESTRING ((259102.806378951 5226564.92667372,259970.368433395 5226935.44439153));177;w208304285;208304285;way;;Kraftwerk Tuxbach;run-of-the-river;1 MW;hydro;plant;;;;;;;;Verbund Hydro Power GmbH;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;194;636;KW Boesdornau;;4284;y;n;n;943,3701805
MULTILINESTRING ((160500.30472329 5211544.75337768,170940.869921717 5222097.00755729));178;w210858414;210858414;way;;Biomasseheizwerk Pfunds;;;wood;plant;;Pfunds;AT;235;6542;;;;;;;;;;;;http://www.gem.at/de/projekte/heizwerk-pfunds/index.html;yes;;;;;Stuben;;;;;;;;;;;;;;;;;;;;;;;59;531;UW Prutz;;4149;y;y;n;14844,37503
MULTILINESTRING ((392559.527903727 5177165.36269255,392500.649589328 5177218.30355647));179;w218584035;218584035;way;;Kraftwerk Kamering;;9.9 MW;hydro;plant;;;;;;;;KELAG;;;;;;;1952;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;72;418;KW Kamering;;4162;y;n;n;79,17948584
MULTILINESTRING ((484200.235817367 5339365.47669225,482178.997550764 5339186.45703911));180;w222669648;222669648;way;industrial;Biomasse-Solarwärme;;;;plant;;Saxen;;172;4351;Saxen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;431;786;UW Baumgartenberg;;9151;y;n;n;2029,150602
MULTILINESTRING ((362886.063028282 5270895.83279658,363177.264178197 5272454.835472));181;w223110671;223110671;way;;Leube Kalkwerk;;yes;;plant;;;;;;;;Leube;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;443;57;UW Golling;;9163;y;n;n;1585,965779
MULTILINESTRING ((108909.374410579 5233047.18866125,106621.703375172 5234010.66648272));182;w223600119;223600119;way;;Alfenzwerk;water-storage;3 MW;hydro;plant;;Lorüns;AT;32;6700;Lorüns;;Alfenzwerke Elektrizitätserzeugung GmbH;Q19258910;de:Alfenzkraftwerk;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;544;UW Buers;;4148;y;y;y;2482,282876
MULTILINESTRING ((538364.631526899 5199016.7932108,537088.674329399 5195515.05865753));183;w226685554;226685554;way;;Kraftwerk Kalsdorf;run-of-the-river;19 MW;hydro;plant;;;;;;;;Verbund Hydro Power GmbH;;;;;;;25.10.2013;;;yes;;;kaplan_turbine;1;;;;;;;;;;;;;;;;;;;;;;;;185;370;KKW Mellach 2;;4275;y;n;n;3726,957425
MULTILINESTRING ((337264.12147807 5210661.87646954,344669.57796444 5206677.4744149));184;w227311282;227311282;way;;Kraftwerk Fleiß I;;2.7 MW;hydro;plant;;;;;;;;KELAG;;;;;;;1947;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;428;KW Zirknitz;;4156;y;n;n;8409,295185
MULTILINESTRING ((336968.496290922 5210600.13542704,344669.57796444 5206677.4744149));185;w227311309;227311309;way;;;;yes;hydro;plant;;;;;;;;Großglockner Seilbahn GmbH;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;428;KW Zirknitz;;4156;y;n;n;8642,564918
MULTILINESTRING ((338437.855393876 5211499.45552204,344669.57796444 5206677.4744149));186;w227492214;227492214;way;industrial;Kraftwerk Fleiß II;;400 kW;hydro;plant;;;;;;;;KELAG;;;;;;;1971;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;428;KW Zirknitz;;4156;y;n;n;7879,45861
MULTILINESTRING ((519569.238859399 5173636.3216672,521455.388049852 5177591.67323522));187;w229190429;229190429;way;industrial;;run-of-the-river;54 kW;hydro;plant;;;;;;;;Sigl GmbH & CO KG;;;;;;;1906;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;460;736;UW Bergla;;9181;y;n;n;4382,050296
MULTILINESTRING ((512675.004394115 5207582.91405511,512087.225418857 5207236.35963491));188;w229192641;229192641;way;;Kraftwerk Teigitschmühle;run-of-the-river;1.2 MW;hydro;plant;;Voitsberg;AT;51d;8570;Teigitschstraße;;Verbund Hydro Power GmbH;;;;;;;;;https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke/teigitschmuehle;yes;;;;;;;;;;;;;;;;;;1926;;;;;;;;;01.10.2017;85;349;UW Arnstein;;4175;y;n;n;682,3372259
MULTILINESTRING ((438102.867942847 5217599.30424943,429094.146549428 5217610.63767042));189;w229416953;229416953;way;industrial;;run-of-the-river;4.5 MW;hydro;plant;;;;;;;;Murauer Stadtwerke GmbH;Q27926737;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;83;491;UW Bodendorf;;4173;y;n;n;9008,728522
MULTILINESTRING ((430689.211859278 5217175.40109534,429094.146549428 5217610.63767042));190;w229420376;229420376;way;industrial;Kraftwerk St. Georgen;;6.0 MW;hydro;plant;;;;;;;;Verbund Hydro Power GmbH;Q27926687;;;;;;1985;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;83;491;UW Bodendorf;;4173;y;n;n;1653,379635
MULTILINESTRING ((137115.4314905 5227316.62622008,134576.158374027 5231586.50453975));191;w230130133;230130133;way;;Kraftwerk Kartell;water-storage;8 MW;hydro;plant;;;;;;;;EWA-Energie- und Wirtschaftsbetriebeder Gemeinde St. Anton GmbH;;;;;;;;;;industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;225;543;UW Rauz;;4001;y;n;n;4967,873672
MULTILINESTRING ((509914.346395598 5310074.79945803,507239.807880353 5309882.31953767));192;w231409919;231409919;way;industrial;Kraftwerk Gaming II;water-storage;yes;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;274;103;UW Gaming;;4047;y;n;n;2681,455722
MULTILINESTRING ((410294.041918636 5318556.69726169,410677.678951689 5318981.43938393));193;w233502275;233502275;way;industrial;Kraftwerk Siebenbrunn;run-of-the-river;2.44 MW;hydro;plant;;Desselbrunn;AT;7;4693;;;Energie AG;;;;;run-of-the-river;;1922;;;industrial;;;;;Viecht;;;;;;;;;;;;;;;;;;;;;;02.10.2016;405;27;UW Traunfall;;9125;y;n;n;572,3488827
MULTILINESTRING ((300199.927160007 5239023.54895891,308806.374903588 5239198.73510052));194;w233761772;233761772;way;;Heizwerk Bramberg;;;biomass;plant;;;;;;;;Salzburg AG;;;;;;;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;446;393;UW Mittersill;;9166;y;n;n;8608,230535
MULTILINESTRING ((523470.929884549 5233084.92864388,524007.076786565 5236374.95513136));195;w234420432;234420432;way;industrial;Kraftwerk Rabenstein;run-of-the-river;14 MW;hydro;plant;;;;;;;;Verbund Hydro Power GmbH;Q12790967;;Laufkraftwerk Rabenstein;;;;;;https://www.verbund.com/pp/de/laufkraftwerk/rabenstein;;;;;;;;;;;;;;;;weir;;;;;;;;;;;;;235;242;UW Frohnleiten;;4009;y;n;n;3333,425834
MULTILINESTRING ((607951.933338829 5343478.69179301,609111.643226073 5341292.47351934));196;w235229607;235229607;way;;Fernheizwerk Kagran;;;;plant;;;;;;;;Wien Energie Fernwärme;;;;;;;;;;industrial;;;;;;;175 MW;;;;;;;;;;;;;;;;;;;;;541;773;UW Wulzendorf;;9266;y;n;n;2474,768143
MULTILINESTRING ((356322.373600945 5233986.34512027,359275.446509359 5241898.97547115));197;w235370093;235370093;way;;BWD Biowärme Dorfgastein;;;;plant;;Dorfgastein;AT;33;5632;Unterdorfstraße;;;;;;;;;;;;warehouse;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;441;515;FKW Schwarzach;;9161;y;n;n;8445,730204
MULTILINESTRING ((358296.032919977 5314180.74917985,359408.157563102 5305899.04833625));198;w237441069;237441069;way;;Nahwärme Mattsee;;;;plant;;Mattsee;AT;1;5163;Mitterweg;;;;;;;;;;;https://www.nahwaerme.net/cms/index.php/de/12-projektbeschreibung-biomasse/69-mattsee;yes;;;;;;;yes;;;;;;;;;;;;;;;;;;;;01.10.2018;439;758;UW Seekirchen;;9159;y;n;n;8356,039139
MULTILINESTRING ((507251.844638637 5309806.2206718,507239.807880353 5309882.31953767));199;w237961465;237961465;way;industrial;Kraftwerkshaus;;yes;hydro;plant;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;274;103;UW Gaming;;4047;y;n;n;77,04492803
MULTILINESTRING ((385936.524815298 5295334.72749728,384348.057077593 5295726.0406367));200;w238039007;238039007;way;industrial;Sandoz;;yes;;plant;;;;;;;;;;;;;;;;;;industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;253;14;UW Unterach;;4027;y;n;n;1635,957129
MULTILINESTRING ((533161.830499977 5210629.67325794,533492.824775088 5210763.19190232));201;w240115571;240115571;way;industrial;Fernheizkraftwerk Graz-Puchstraße;combustion;100 MW;gas;plant;;Graz;AT;51;8020;Puchstraße;;;;;;;;gas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;468;230;UW Graz-Sued;;9189;y;n;n;356,9095664
MULTILINESTRING ((474655.867100178 5270505.85038427,480659.266967763 5272505.39765233));202;w241173432;241173432;way;industrial;;;;;plant;;Admont;AT;47;8913;;;;;;;;;;;;;yes;;;;;Gstatterboden;;;;;;;;;;;;;;;;;;;;;;01.10.2020;91;247;UW Hieflau;;4181;y;n;n;6327,63773
MULTILINESTRING ((363556.854587874 5350175.59308516,363691.324186826 5350347.24411254));203;w242193001;242193001;way;;Wasserkraftwerk Ering-Frauenstein;run-of-the-river;72.9 MW;hydro;plant;;;;;;;;E.ON Wasserkraft;Q1786092;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;47;WKW Ering-Frauenstein;;4110;y;n;n;218,0507928
MULTILINESTRING ((403638.194008762 5157591.31699776,399933.539195351 5157254.08701668));204;w242606813;242606813;way;;Kraftwerk Schütt 1;;yes;hydro;plant;;Arnoldstein;AT;65;9601;;;KELAG;;;;;;;1911;;;yes;;;;;Pöckau;;;;;;;;;;;;;;;;;;;;;;01.10.2018;304;437;UW Gailitz;;9022;y;n;n;3719,971955
MULTILINESTRING ((404841.515789826 5157034.26495331,409328.152283288 5156639.76847705));205;w242606817;242606817;way;;Kraftwerk Schütt 2;;10 MW;hydro;plant;;;;;;;;KELAG;;;;;;;1962;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;249;438;UW Fuernitz;;4023;y;n;n;4503,946547
MULTILINESTRING ((611692.717856949 5319731.18894734,609054.229403247 5320392.23314742));206;w250807631;250807631;way;;Kleinkraftwerk Heilinger;;;;plant;;Reisenberg;;2;2440;Reisenberger Straße;;Heilinger GmbH;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;336;180;UW Moosbrunn;;9054;y;n;n;2720,036903
MULTILINESTRING ((248953.725144238 5246722.37141362,250796.469719491 5249609.70070578));207;w252379327;252379327;way;;Kraftwerk Vomperbach Unterstufe;;;hydro;plant;;Vomp;AT;18;6134;Pirchat;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;245;614;UW Schwaz;;4018;y;n;n;3425,255904
MULTILINESTRING ((382490.736538908 5204409.85847012,388473.858893634 5196570.22770558));208;w253467838;253467838;way;;Kraftwerk Gößfall;;yes;hydro;plant;;Malta;AT;7;9854;Koschach;;KELAG;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;277;509;UW Gmuend;;4049;y;n;n;9861,924946
MULTILINESTRING ((363944.280154081 5229202.75151187,356460.952008953 5223684.00993623));209;w255230518;255230518;way;;KW Oflek an der Großarler Ache;;yes;;plant;;;;;;;;EAG;;;;;;;;;;industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;438;518;UW Angertal;;9158;y;n;n;9298,209973
MULTILINESTRING ((426205.406428193 5322228.77245127,434668.722444367 5321103.45789471));210;w256752485;256752485;way;;Photovoltaikkraftwerk Eberstalzell;photovoltaic;1050 kWp;solar;plant;;;;;;;;Energie AG;;;;;;;21.05.2010;;https://www.energieag.at/Themen/Energie-fuer-Sie/SolarCampus;;;;;;;;;;;;;;;;;grassland;;;;;;;;;;;;409;724;UW Kremsmuenster;;9129;y;n;n;8537,801288
MULTILINESTRING ((488783.915457143 5328483.38130312,490087.473340528 5328755.86055996));211;w258105459;258105459;way;;Restwasserkraftwerk;run-of-the-river;;hydro;plant;;;;;;;;;;;;;;;;;;yes;;;kaplan_turbine;;;;;;;;;;;;;;;;;;;;;;;;;334;94;UW Amstetten;;9052;y;n;n;1331,731242
MULTILINESTRING ((365409.453043821 5237838.67815092,359275.446509359 5241898.97547115));212;w258779978;258779978;way;;Labenbach;;yes;;plant;;Großarl;AT;7;5611;Premsäge;;Illmer GmbH & Co KG;;;;;;;;;;house;;;;;;;;;;;;;;;;;;;;;;;;;;;01.10.2017;441;515;FKW Schwarzach;;9161;y;n;n;7356,089348
MULTILINESTRING ((456141.651302103 5318461.86827349,456147.626412531 5318422.82283105));213;w259327210;259327210;way;;Kraftwerk Garsten-St. Ulrich;run-of-the-river;38 MW;hydro;plant;;;;;;;;Ennskraftwerke AG;Q26883008;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;434;726;WKW Garsten;;9154;y;n;n;39,49998127
MULTILINESTRING ((604005.713240075 5337398.90379801,606902.992575894 5337383.30285791));214;w263475524;263475524;way;industrial;Fernheizwerk Arsenal;combustion;340 MW;"gas;oil";plant;;;;;;;;Wien Energie;;;;;;;2015;;;yes;;;;;;;340 MW;;;;;;;;;;;;;;;;;;;;;542;771;KW Simmering;;9267;y;n;n;2897,321339
MULTILINESTRING ((410374.934473909 5165029.5118089,407390.558758363 5167167.6163352));215;w264480024;264480024;way;;Kraftwerk Villach;;25 MW;hydro;plant;;;;;;;;Verbund Hydro Power GmbH;Q12790959;;;;;;1984;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;448;Omya GmbG;;4163;y;n;n;3671,238126
MULTILINESTRING ((473782.287476135 5291397.11447713,473975.88479481 5287279.98338467));216;w266556511;266556511;way;industrial;Kraftwerk Schönau;run-of-the-river;29.8 MW;hydro;plant;;Weyer;AT;90;4464;Nach der Enns;;Ennskraftwerke AG;;;;;;;1972;;https://www.verbund.com/pp/de/laufkraftwerk/schoenau;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;656;KW Altenmarkt;;4184;y;n;n;4121,680283
MULTILINESTRING ((463541.207242116 5304524.03713359,463917.841833451 5304416.95120448));217;w266583793;266583793;way;;Kraftwerk Grossraming;run-of-the-river;72 MW;hydro;plant;;;;;;;;Ennskraftwerke AG;Q30973608;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;408;662;UW Grossraming;;9128;y;n;n;391,5622704
MULTILINESTRING ((124997.741943081 5231805.540125,134576.158374027 5231586.50453975));218;w266746972;266746972;way;industrial;Kraftwerk Spullersee;water-storage;36 MW;hydro;plant;;Wald am Arlberg;AT;125;6752;Arlbergstraße;;ÖBB;Q21877800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;225;543;UW Rauz;;4001;y;n;n;9580,920515
MULTILINESTRING ((363865.08730143 5291386.6288152,356169.858290043 5285460.95153792));219;w267116236;267116236;way;industrial;Wasserkraftwerk Strubklamm;;15 MW;hydro;plant;;;;;;;;Salzburg AG;;;;;;;;;https://www.salzburg-ag.at/erzeugung/unsere-kraftwerke/wasserkraftwerk-strubklamm-2582/;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;437;56;UW Oberalm;;9157;y;n;n;9712,373589
MULTILINESTRING ((382873.745709984 5332574.20595482,389678.688015051 5340782.17573264));220;w285077030;285077030;way;industrial;Nahwärme Waldzell;;;biomass;plant;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;410;36;UW Ried;;9130;y;n;n;10661,98892
MULTILINESTRING ((472122.229230852 5263794.24351337,480659.266967763 5272505.39765233));221;w286701066;286701066;way;industrial;Kraftwerk Johnsbach II;;;;plant;;;;;;;;ENVESTA Energie- und Dienstleistungs GmbH;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;247;UW Hieflau;;4181;y;n;n;12196,93485
MULTILINESTRING ((367573.555067333 5225353.53369262,356460.952008953 5223684.00993623));222;w293104558;293104558;way;;Kraftwerk Hubalpbach;;;;plant;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;438;518;UW Angertal;;9158;y;n;n;11237,31535
MULTILINESTRING ((604935.344568829 5331807.10420504,605750.419596235 5331122.63064356));223;w293184909;293184909;way;grass;BürgerInnen-Solarkraftwerk Unterlaa;photovoltaic;1.92 MW;solar;plant;;;;;;;;Wien Energie;;;Photovoltaik-Anlage Unterlaa;;;;;;https://www.buergerkraftwerke.at/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140;178;UW Wien Suedost;;4230;y;y;y;1064,354902
MULTILINESTRING ((371337.623236557 5192422.26712345,371399.931020572 5192365.41064096));224;w293434346;293434346;way;;Reißeck-Kreuzeck;;138 MW;hydro;plant;;;;;;;;Verbund Hydro Power GmbH;;;Krafthaus Kolbnitz;;;;1950;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;416;KW Reisseck;;4159;y;n;n;84,34998252
MULTILINESTRING ((426249.3698587 5371003.49663706,425068.132335706 5365026.31758178));225;w295484557;295484557;way;;Dammbalkenlager;;;;;;;;;;;;;;;;;;;;;;service;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;700;UW Partenstein;;4198;y;n;n;6092,781922
MULTILINESTRING ((501205.360615327 5298741.15508474,505077.72816528 5303737.01667584));226;w298369066;298369066;way;;E-Werk Schwaighofer Wasserkraft;;;;plant;;Lunz am See;AT;17a;3293;Töpperweg;;;;;;;;;;;;industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;01.10.2018;376;107;UW Grubberg;;9095;y;n;n;6320,906856
MULTILINESTRING ((543325.265527253 5228238.31215674,547798.323302691 5228348.31309902));227;w301151118;301151118;way;industrial;;;;;plant;;;;;;;;;;;;;;;;;;service;;;;;;;;;;;;;;;;;;;;;;;;;;;;453;220;UW Weiz;;9174;y;n;n;4474,410137
MULTILINESTRING ((562568.094884364 5230705.44060133,573433.394668148 5235016.6470841));228;w304180387;304180387;way;;;;;;plant;;Stubenberg;AT;157;8223;;;;;;;;;;;;;yes;;;;;Vockenberg;;;;;;;;;;;;;;;;;;;;;;;472;213;UW Hartberg;;9193;y;n;n;11689,36443
MULTILINESTRING ((424979.034309923 5364979.23982416,425068.132335706 5365026.31758178));229;w305101329;305101329;way;;Maschinenhaus;;;;;;;;;;;;Energie AG;;;;;;;;;;industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;700;UW Partenstein;;4198;y;n;n;100,7708959
MULTILINESTRING ((424999.326669696 5365265.68779992,425068.132335706 5365026.31758178));230;w305101333;305101333;way;;Schieberhaus / Apperatekammer;;;;;;;;;;;;;;;;;;;;;;industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;700;UW Partenstein;;4198;y;n;n;249,0628856
MULTILINESTRING ((424989.323644928 5365011.94066322,425068.132335706 5365026.31758178));231;w305101339;305101339;way;;Kühlwasser Filterhaus;;;;;;;;;;;;;;;;;;;;;;industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;700;UW Partenstein;;4198;y;n;n;80,10933485
MULTILINESTRING ((425015.634571711 5365369.48433097,425068.132335706 5365026.31758178));232;w305101341;305101341;way;;Wasserschloss;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;reservoir_covered;;;;;;;;;;;;;;108;700;UW Partenstein;;4198;y;n;n;347,1590889
MULTILINESTRING ((589907.128546119 5272319.36934722,584654.823018035 5273644.38271098));233;w305415118;305415118;way;;Fernheizwerk Lichtenegg;;;;plant;;;;;;;;;;;;;;;;;;yes;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;373;169;UW Edlitz;;9092;y;n;n;5416,86014
MULTILINESTRING ((434009.32948225 5306479.46152757,433747.690467083 5306427.93350388));234;w314815423;314815423;way;;Zementwerk Kirchdorf;;;;plant;;;;;;;;Kirchdorfer Zementwerke Hofmann GmbH;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;416;725;UW Kirchdorf;;9136;y;n;n;266,6647924
MULTILINESTRING ((498947.396071621 5350125.84385544,503544.274909687 5332593.29851189));235;w318343645;318343645;way;industrial;Kleinwasserkraftwerk Kaltental;run-of-the-river;332,6 kW;hydro;plant;;Waldhausen im Strudengau;AT;60;4391;Dendlreith;;Linz AG;;;;;;;1924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;84;UW Ybbsfeld;;4210;y;y;n;18125,16045
MULTILINESTRING ((424876.50218359 5364693.65218695,425068.132335706 5365026.31758178));236;w319570212;319570212;way;industrial;Auslaufbauwerk Kraftwerk Partenstein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;700;UW Partenstein;;4198;y;n;n;383,9119432
MULTILINESTRING ((362995.292092414 5247052.18996833,364922.481530444 5248845.2203878));237;w320489478;320489478;way;;E-Werk Palfnerhof;;;;plant;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;177;9;UW Pongau;;4267;y;n;n;2632,302645
MULTILINESTRING ((414192.959232808 5197533.50277044,406296.707899222 5184847.15926565));238;w325017262;325017262;way;;Fernwärme Turracher Höhe;;;;plant;;Stadl-Predlitz;AT;279;8864;;;;;;;;;;;;;yes;;;;;Turracherhöhe;;;;;;;;;;;;;;;;;;;;;;01.10.2017;323;451;UW Kleinkirchheim;;9041;y;n;n;14943,02836
MULTILINESTRING ((355538.956199751 5316726.94074459,347310.835762203 5313145.72703833));239;w325403751;325403751;way;industrial;Photovoltaik Park;photovoltaic;1235 kW;solar;plant;;;;;;;;WHB PV-Park GmbH;;;;;;;2013;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;445;755;UW Goemming;;9165;y;n;n;8973,686954
MULTILINESTRING ((448392.586603026 5151906.58100401,446175.392086032 5153085.64548849));240;w326589566;326589566;way;;Kraftwerk Berg-, Schmelz- und Hammerwerk;;yes;hydro;plant;;;;;;;;KELAG;;;;;;;;;;industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;314;496;UW Ferlach;;9032;y;n;n;2511,203812
MULTILINESTRING ((425024.809334034 5365026.14361774,425068.132335706 5365026.31758178));241;w328211333;328211333;way;;Magazin;;;;substation;;Neuhaus;;20;4114;Partenstein;;Energie AG;;;;;;;;;;industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;700;UW Partenstein;;4198;y;n;n;43,32335095
MULTILINESTRING ((426170.453610815 5370963.32056548,425068.132335706 5365026.31758178));242;w331198664;331198664;way;;Bootshaus;;;;;;;;;;;;;;;;;;;;;;service;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;700;UW Partenstein;;4198;y;n;n;6038,469725
MULTILINESTRING ((426039.156013221 5370773.34233741,425068.132335706 5365026.31758178));243;w331968885;331968885;way;industrial;Einlauf Langhalsen;;;;;;;;;;;;Energie AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;700;UW Partenstein;;4198;y;n;n;5828,480121
MULTILINESTRING ((356595.324312698 5310423.67646859,359408.157563102 5305899.04833625));244;w332310961;332310961;way;;;;;;plant;;;;;;;;;;;;;;;;;;yes;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;439;758;UW Seekirchen;;9159;y;n;n;5327,690929
MULTILINESTRING ((516664.813751385 5185121.3675941,517284.849388516 5184988.07817895));245;w333044306;333044306;way;industrial;Biomasseheizwerk;thermal;;biomass;plant;;Deutschlandsberg;AT;;8530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;458;735;UW Deutschlandsberg;;9179;y;n;n;634,2004884
MULTILINESTRING ((454779.46671367 5270311.37139403,451023.479303716 5270840.02897389));246;w339343760;339343760;way;industrial;Biomasseheizwerk Frauenberg;;;wood;plant;;;;;;;;ENVESTA;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;481;652;UW Ardning;;9202;y;n;n;3793,009394
MULTILINESTRING ((574740.808311386 5272816.50746095,570049.319315381 5279375.75978274));247;w339372833;339372833;way;;Nahwärme Kirchberg am Wechsel;;;;plant;;Kirchberg am Wechsel;AT;389;2880;;;;;;;;;;;;;yes;;;;;Markt;;;;;;;;;;;;;;;;;;;;;;01.10.2017;372;168;UW Hart;;9091;y;n;n;8064,357384
MULTILINESTRING ((425009.011953028 5365100.0117341,425068.132335706 5365026.31758178));248;w339529300;339529300;way;;Kühlwasserhaus;;;;;;;;;;;;;;;;;;;;;;industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;700;UW Partenstein;;4198;y;n;n;94,47776317
MULTILINESTRING ((480223.558845597 5171465.17926275,475649.292319331 5168341.53407861));249;w341030250;341030250;way;;GLOCK Heizkraftwerk;;;;plant;;Griffen;AT;1;9112;Bengerstraße;;GLOCK Ökoenergie GmbH;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;371;UW Obersielach;;4166;y;y;y;5539,049872
MULTILINESTRING ((481232.222687883 5277510.19189615,481270.068352901 5277495.99376801));250;w342158239;342158239;way;industrial;Kraftwerk Landl;run-of-the-river;25 MW;hydro;plant;;;;;;;;Verbund Hydro Power GmbH;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;92;250;KW Landl;;4182;y;n;n;40,42129641
MULTILINESTRING ((481950.615090211 5356666.01552941,482178.997550764 5339186.45703911));251;w342885383;342885383;way;industrial;Kleinwasserkraftwerk Pierbach;run-of-the-river;220 kW;hydro;plant;;Naarntal;AT;12;4282;Naarntal;;Linz AG;;;;;run-of-the-river;;1925;;;industrial;;;francis_turbine;;;;;;;;;;;;;;;;;;;;;;;;;431;786;UW Baumgartenberg;;9151;y;n;n;17481,05041
MULTILINESTRING ((480659.769795192 5256774.06828474,492941.351469147 5265502.6643891));252;w352110911;352110911;way;;;;;;plant;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;264;659;UW Trofeng;;4038;y;n;n;15067,36999
MULTILINESTRING ((250862.872892561 5212320.37668609,259970.368433395 5226935.44439153));253;w353898141;353898141;way;;KlKW Spiegelwald;;yes;;plant;;;;;;;;VERBUND Hydro Power GmbH;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;194;636;KW Boesdornau;;4284;y;n;n;17220,53074
